_inputshopbuymultiple;KUP
tracked_event_finish_x_matches_using_foltest;Ukończ partie w liczbie {0} Królem Foltestem.
tracked_event_finish_x_matches_using_francesca;Ukończ partie w liczbie {0} Francescą Findabair.
tracked_event_finish_x_matches_using_gernichora;Ukończ partie w liczbie {0} Gernichorą.
tracked_event_finish_x_matches_using_henselt;Ukończ partie w liczbie {0} Królem Henseltem.
tracked_event_finish_x_matches_using_meve;Ukończ partie w liczbie {0} Królową Meve.
tracked_event_finish_x_matches_using_morvran;Ukończ partie w liczbie {0} Morvranem Voorhisem.
tracked_event_finish_x_matches_using_unseen_elder;Ukończ partie w liczbie {0} Ukrytym.
tracked_event_finish_x_matches_using_usurper;Ukończ partie w liczbie {0} Uzurpatorem.
tracked_event_finish_x_matches_using_woodland_spirit;Ukończ partie w liczbie {0} Duchem Lasu.
tracked_event_harmony_x_times;Skorzystaj z umiejętności harmonii <strong>{0}</strong> razy.
tracked_event_kill_with_poison_x_times;<strong>{0}</strong> razy zniszcz jednostki, korzystając tylko z trucizny.
tracked_event_kill_x_beasts;Zabij Bestie w liczbie {0}
tracked_event_kill_x_units;Zniszcz jednostki ({0})
tracked_event_kill_x_units_fix;Zabij jednostki ({0})
tracked_event_lock_x_units;Zablokuj {0} jednostek
tracked_event_open_kegs;Otwórz beczki ({0})
tracked_event_order_x_times;Użyj umiejętności rozkazu {0} razy
tracked_event_place_shields_x_times;Daj tarczę <strong>{0}</strong> razy.
tracked_event_play_alchemy_cards_x_times;Zagraj karty Alchemii w liczbie {0}.
tracked_event_play_armor_granting_cards_x_times;<strong>{0}</strong> razy zagraj jednostki dające pancerz.
tracked_event_play_artifact_cards_x_times;Zagraj karty Artefaktów w liczbie {0}.
tracked_event_play_assimilate_x_times;<strong>{0}</strong> razy zagraj kartę z asymilacją.
tracked_event_play_auberon_x_times;Zagraj Auberona {0} razy
tracked_event_play_berserk_x_times;<strong>{0}</strong> razy zagraj kartę z szałem.
tracked_event_play_cards_with_bleed_x_times;<strong>{0}</strong> Razy zagraj kartę z krwawieniem.
tracked_event_play_cards_with_dana_x_times;<strong>{0}</strong> razy zagraj jednostkę Scoia'tael przy użyciu umiejętności Dany.
tracked_event_play_common_cards_x_times;Zagraj karty zwykłe w liczbie {0}.
tracked_event_play_eithne_x_times;Zagraj Eithné {0} razy
tracked_event_play_epic_cards_x_times;Zagraj karty epickie w liczbie {0}.
tracked_event_play_geralts_x_times;Zagraj karty Geralta w liczbie {0}
tracked_event_play_harald_x_times;Zagraj Haralda an Craite {0} razy
tracked_event_play_harmony_x_times;<strong>{0}</strong> razy zagraj kartę z harmonią.
tracked_event_play_jacques_x_times;Zagraj Jakuba an Craite {0} razy
tracked_event_play_legendary_cards_x_times;Zagraj karty legendarne w liczbie {0}.
tracked_event_play_match_blaze_of_glory;Rozegraj grę, korzystając z umiejętności Blask chwały
tracked_event_play_match_hidden_cache;Rozegraj grę, korzystając z umiejętności Tajny skład
tracked_event_play_match_imposter;Rozegraj grę, korzystając z umiejętności Hochsztapler
tracked_event_play_match_mahakam_forge;Rozegraj grę, korzystając z umiejętności Mahakamska kuźnia
tracked_event_play_match_overwhelming_hunger;Rozegraj grę, korzystając z umiejętności Niepohamowany głód
tracked_event_play_match_uprising;Rozegraj grę, korzystając z umiejętności Insurekcja
tracked_event_play_match_with_supported_faction;Rozegraj partię wspieraną frakcją
tracked_event_play_neutral_cards_x_times;Zagraj karty neutralne w liczbie {0}.
tracked_event_play_organic_cards_x_times;Zagraj karty organiczne w liczbie {0}.
tracked_event_play_rare_cards_x_times;Zagraj karty rzadkie w liczbie {0}.
tracked_event_play_shield_x_times;<strong>{0}</strong> razy zagraj kartę z tarczą.
tracked_event_play_special_cards_x_times;Zagraj karty specjalne w liczbie {0}.
tracked_event_play_spell_cards_x_times;Zagraj karty Zaklęć w liczbie {0}.
tracked_event_play_tactics_cards_x_times;Zagraj karty Taktyki w liczbie {0}.
tracked_event_play_triss_x_times;Zagraj {0} kart(y) Triss
tracked_event_play_unit_cards_x_times;Zagraj karty jednostek w liczbie {0}.
tracked_event_play_usurper_x_times;Zagraj Uzurpatora {0} razy
tracked_event_play_viraxas_x_times;Zagraj Viraxasa {0} razy
tracked_event_play_witcher_cards_x_times;<strong>{0}</strong> razy zagraj wiedźminów.
tracked_event_play_witcher_trio_x_times;Zagraj karty Eskela, Vesemira albo Lamberta {0} razy
tracked_event_play_x_beasts;Zagraj Bestie w liczbie {0}
tracked_event_play_x_bombs;Zagraj Bomby w liczbie {0}
tracked_event_play_x_bronzes;Zagraj brązowe karty w liczbie {0}
tracked_event_play_x_cards;Zagraj karty w liczbie <strong>{0}</strong>.
tracked_event_play_x_cards_below_6_power;Zagraj {0} kartami o sile niższej niż 6 w liczbie 
tracked_event_play_x_cards_with_assimilate_fee_inspired;Zagraj karty z asymilacją, opłatą lub inspiracją w liczbie {0}.
tracked_event_play_x_cards_with_charges;Zagraj posiadające ładunki jednostki w liczbie <strong>{0}</strong>.
tracked_event_play_x_cards_with_even_power;Zagraj karty ({0}) o parzystej sile bazowej
tracked_event_play_x_cards_with_less_provisions_y;Zagraj <strong>{0}</strong> kart o koszcie werbunku nie wyższym niż 7.
tracked_event_play_x_cards_with_more_provisions_y;Zagraj <strong>{0}</strong> kart o koszcie werbunku 8 lub wyższym.
tracked_event_play_x_cards_with_odd_power;Zagraj karty ({0}) o nieparzystej sile bazowej
tracked_event_play_x_cards_with_thrive_harmony_berserk;Zagraj karty z pokrzepieniem, harmonią lub szałem w liczbie {0}.
tracked_event_play_x_common_cards;Zagraj zwykłe karty w liczbie {0}
tracked_event_play_x_epic_cards;Zagraj epickie karty w liczbie {0}
tracked_event_play_x_gold_cards;Zagraj w dowolnym trybie gry {0} złotych kart.
tracked_event_play_x_humans;Zagraj Ludzi w liczbie {0}
tracked_event_play_x_matches;Rozegraj {0} partii w dowolnym trybie gry
tracked_event_play_x_matches_blaze_of_glory;Rozegraj gry ({0}), korzystając z umiejętności Blask chwały
tracked_event_play_x_matches_hidden_cache;Rozegraj gry ({0}), korzystając z umiejętności Tajny skład
tracked_event_play_x_matches_imposter;Rozegraj gry ({0}), korzystając z umiejętności Hochsztapler
tracked_event_play_x_matches_mahakam_forge;Rozegraj gry ({0}), korzystając z umiejętności Mahakamska kuźnia
tracked_event_play_x_matches_overwhelming_hunger;Rozegraj gry ({0}), korzystając z umiejętności Niepohamowany głód
tracked_event_play_x_matches_uprising;Rozegraj gry ({0}), korzystając z umiejętności Insurekcja
tracked_event_play_x_or_less_cards_one_game;Zagraj w jednej partii karty w liczbie nieprzekraczającej <strong>{0}</strong>.
tracked_event_play_x_or_more_cards_one_game;Zagraj w jednej partii karty w liczbie niemniejszej niż <strong>40</strong>.
tracked_event_play_x_rare_and_common_cards;Zagraj karty zwykłe i rzadkie w liczbie {0}.
tracked_event_play_x_rare_cards;Zagraj rzadkie karty w liczbie {0}
tracked_event_play_x_rounds_with_supported_faction;Rozegraj rundy ({0}) obsługiwaną frakcją
tracked_event_play_x_seasonal_matches;Rozegraj partie sezonowe w liczbie <strong>{0}</strong>.
tracked_event_play_x_spells;Zagraj Zaklęcia w liczbie {0}
tracked_event_play_x_triss_cards;Zagraj karty Triss w liczbie {0}
tracked_event_play_x_warriors_cards;Zagraj jednostki z kategorii Wojownik w liczbie <strong>{0}</strong>.
tracked_event_play_x_yennefer_cards;Zagraj {0} kartami Yennefer
tracked_event_purify_unity_x_times;Skorzystaj z umiejętności oczyszczenia <strong>{0}</strong> razy.
tracked_event_reach_level_5;Osiągnij poziom 5.
tracked_event_reach_level_x;Osiągnij poziom {0}, grając w dowolnym trybie.
tracked_event_reset_orders_with_viraxas;Zresetuj Viraxasem rozkaz {0} razy
tracked_event_spawn_dryads;Stwórz driady w liczbie {0}
tracked_event_spawn_firesworn_tokens;Stwórz Sługi Wiecznego Ognia w liczbie {0}
tracked_event_spawn_flaming_rose_footmen;Stwórz Szeregowych Płonącej Róży w liczbie {0}
tracked_event_spawn_operatives_with_usurper;Za pomocą Uzurpatora stwórz Wywiadowców w liczbie {0}
tracked_event_spawn_tokens_with_jacques;Stwórz Sługi Wiecznego Ognia w liczbie {0} za pomocą karty Jakuba
tracked_event_spawn_volunteers;Stwórz Ochotników w liczbie {0}
tracked_event_spawn_x_cards;Stwórz karty ({0})
tracked_event_spawn_x_units;Stwórz jednostki w liczbie {0}.
tracked_event_spawn_young_dryads_with_eithne;Za pomocą Eithne stwórz Małe Driady w liczbie {0}
tracked_event_spawn_zealots_with_jacues;Za pomocą Jakuba stwórz Fanatyków Wybrańców w liczbie {0}
tracked_event_summon_roach_x_times;Przyzwij Płotkę {0} razy
tracked_event_transform_with_svalblod_x_times;<strong>{0}</strong> razy zadaj jednostce obrażenia przy użyciu umiejętności Svalbloda.
tracked_event_trigger_bloodthirst_cards_x_times;Zagraj <strong>{0}</strong> razy kartę z umiejętnością żądzy krwi.
tracked_event_trigger_bloodthirst_x_times;Aktywuj Żądzę Krwi {0} razy
tracked_event_trigger_conspiracy_x_times;Aktywuj Spisek {0} razy
tracked_event_trigger_deathwish_x_times;Aktywuj zemstę {0} razy
tracked_event_use_calveit_ability_x_times;Zagraj karty w liczbie <strong>{0}</strong> dzięki umiejętności Jana Calveita.
tracked_event_use_demavend_ability_x_times;Daj ładunki w liczbie <strong>{0}</strong> dzięki umiejętności Króla Demawenda III.
tracked_event_use_eist_ability_x_times;Zagraj Wojowników w liczbie <strong>{0}</strong> dzięki umiejętności Eista Tuirseacha.
tracked_event_win_1_match_with_each_baseset_leader_from_supported_faction;Wygraj po 1 partii każdym z dowódców obsługiwanych frakcji zestawu podstawowego.
tracked_event_win_matches_with_cc_leaders;Wygraj dowódcami Krwawej Klątwy partie w liczbie <strong>{0}</strong>.
tracked_event_win_x_game_in_a_row;Wygraj z rzędu partie sezonowe w liczbie <strong>{0}</strong>.
tracked_event_win_x_game_in_a_row_any_mode;Wygraj kolejne partie w liczbie <strong>{0}</strong> w dowolnym trybie rozgrywki.
tracked_event_win_x_matches_blaze_of_glory;Wygraj rozgrywki ({0}), korzystając z umiejętności Blask chwały
tracked_event_win_x_matches_bronze_cards_only;Wygraj partie w liczbie <strong>{0}</strong> przy użyciu wyłącznie brązowych kart.
tracked_event_win_x_matches_hidden_cache;Wygraj rozgrywki ({0}), korzystając z umiejętności Tajny skład
tracked_event_win_x_matches_imposter;Wygraj rozgrywki ({0}), korzystając z umiejętności Hochsztapler
tracked_event_win_x_matches_mahakam_forge;Wygraj rozgrywki ({0}), korzystając z umiejętności Mahakamska kuźnia
tracked_event_win_x_matches_overwhelming_hunger;Wygraj rozgrywki ({0}), korzystając z umiejętności Niepohamowany głód
tracked_event_win_x_matches_uprising;Wygraj rozgrywki ({0}), korzystając z umiejętności Insurekcja
tracked_event_win_x_matches_using_adda;Wygraj partie w liczbie {0} Księżniczką Addą.
tracked_event_win_x_matches_using_arachas_queen;Wygraj partie w liczbie {0} Królową Roju.
tracked_event_win_x_matches_using_ardal;Wygraj partie w liczbie {0} Ardalem aep Dahym.
tracked_event_win_x_matches_using_brouver;Wygraj partie w liczbie {0} Brouverem Hoogiem.
tracked_event_win_x_matches_using_calveit;Wygraj partie w liczbie <strong>{0}</strong> Janem Calveitem.
tracked_event_win_x_matches_using_demavend;Wygraj partie w liczbie <strong>{0}</strong> Królem Demawendem III.
tracked_event_win_x_matches_using_eist;Wygraj partie w liczbie <strong>{0}</strong> Eistem Tuirseachem.
tracked_event_win_x_matches_using_eithne;Wygraj partie w liczbie {0} Eithne.
tracked_event_win_x_matches_using_eldain;Wygraj partie w liczbie {0} Eldainem.
tracked_event_win_x_matches_using_emhyr;Wygraj partie w liczbie {0} Emhyrem var Emreisem.
tracked_event_win_x_matches_using_eredin;Wygraj partie w liczbie {0} Eredinem Bréacc Glasem.
tracked_event_win_x_matches_using_filavandrel;Wygraj partie w liczbie {0} Filavandrel aén Fidháil.
tracked_event_win_x_matches_using_foltest;Wygraj partie w liczbie {0} Królem Foltestem.
tracked_event_win_x_matches_using_francesca;Wygraj partie w liczbie {0} Francescą Findabair.
tracked_event_win_x_matches_using_gernichora;Wygraj partie w liczbie {0} Gernichorą.
tracked_event_win_x_matches_using_harald;Wygraj partie w liczbie <strong>{0}</strong> Haraldem Chromym.
tracked_event_win_x_matches_using_henselt;Wygraj partie w liczbie {0} Królem Henseltem.
tracked_event_win_x_matches_using_meve;Wygraj partie w liczbie {0} Królową Meve.
tracked_event_win_x_matches_using_morvran;Wygraj partie w liczbie {0} Morvranem Voorhisem.
tracked_event_win_x_matches_using_unseen_elder;Wygraj partie w liczbie {0} Ukrytym.
tracked_event_win_x_matches_using_usurper;Wygraj partie w liczbie {0} Uzurpatorem.
tracked_event_win_x_matches_using_woodland_spirit;Wygraj partie w liczbie {0} Duchem Lasu.
tracked_event_win_x_matches_with_anna;Ignore.
tracked_event_win_x_matches_with_calanthe;Ignore.
tracked_event_win_x_matches_with_dana;Ignore.
tracked_event_win_x_matches_with_detlaff;Ignore.
tracked_event_win_x_matches_with_svalblod;Ignore.
tracked_event_win_x_rounds;Wygraj w partiach sezonowych rundy w liczbie <strong>{0}</strong>.
tracked_event_win_x_rounds_blaze_of_glory;Wygraj rundy ({0}), korzystając z umiejętności Blask chwały
tracked_event_win_x_rounds_hidden_cache;Wygraj rundy ({0}), korzystając z umiejętności Tajny skład
tracked_event_win_x_rounds_imposter;Wygraj rundy ({0}), korzystając z umiejętności Hochsztapler
tracked_event_win_x_rounds_mahakam_forge;Wygraj rundy ({0}), korzystając z umiejętności Mahakamska kuźnia
tracked_event_win_x_rounds_overwhelming_hunger;Wygraj rundy ({0}), korzystając z umiejętności Niepohamowany głód
tracked_event_win_x_rounds_restricted;Wygraj kilka rund ({0})
tracked_event_win_x_rounds_uprising;Wygraj rundy ({0}), korzystając z umiejętności Insurekcja
tracked_event_win_x_rounds_with_less_then_y;Wygraj z prowadzeniem maks. 5 pkt rundy w liczbie <strong>{0}</strong>.
tracked_event_win_x_rounds_with_more_then_y;Wygraj z prowadzeniem min. 20 pkt rundy w liczbie <strong>{0}</strong>.
tracked_event_win_x_rounds_with_supported_faction;Wygraj rundy ({0}) obsługiwaną frakcją
tracked_event_win_x_seasonal_matches;Wygraj partie sezonowe w liczbie <strong>{0}</strong>.
tracked_event_win_x_seasonal_rounds;Wygraj w wydarzeniu sezonowym rundy w liczbie <strong>{0}</strong>.
trakced_event_win_x_games_with_supported_faction;Wygraj partie ({0}) obsługiwaną frakcją
transaction_failed;Nie udało się rozpocząć transkacji.
transaction_failed_desc;Coś poszło nie tak. Spróbuj ponownie.
transaction_failed_title;Błąd transakcji
transaction_not_verified;Wystąpiła odmowa realizacji transakcji z wykorzystaniem podanej karty kredytowej. Prosimy spróbować z inną kartą.
transaction_not_verified_title;Błąd transakcji
transaction_success_popup_title;Transakcja udana!
troop_cards;jcb: PL 1
tutorial_complete;Koniec samouczka
tutorial_complete_text_key;Udało ci się opanować podstawy GWINTA!\n\nMożesz teraz otworzyć otrzymaną beczkę <sprite="PopupIcons" name=Keg>, aby powiększyć swoją kolekcję kart <sprite="PopupIcons" name=Card>.\n\nWięcej beczek możesz kupić za złoto <sprite="PopupIcons" name=Ore> - graj przeciwko innym graczom by je zdobyć.\n\nMożesz również stawić czoła wyzwaniom dla jednego gracza aby zdobyć różnorakie nagrody, w tym nowe karty Dowódców!
tutorial_complete_title_key;Gratulacje!
tutorial_completion_hint_box;Pora na trening z pierwszą talią frakcyjną. To potrwa tylko kilka minut.
tutorial_completion_subtitle;Udało ci się ukończyć samouczek!
tutorial_db_question_question;Czy chcesz zobaczyć samouczek ekranu budowania talii?
tutorial_db_question_title;Samouczek ekranu budowania talii
tutorial_final_reward_hint;Możesz teraz poznawać wszystkie tryby rozgrywki i menu.\n\nDaliśmy ci nieco growej waluty na zakup beczek, tworzenie nowych kart i ulepszanie ich do wersji z animacjami.\nMożesz też wydawać swoje punkty nagród w olbrzymiej Księdze Nagród.\nEksperymentuj i baw się dobrze w Gwincie!
tutorial_hint_arena_first_entry;W tym trybie będziesz budować talię ze wszystkich dostępnych kart - bez ograniczeń na frakcje czy własną kolekcję. Pierwszy raz jest darmowy!
tutorial_hint_border_quest;Graj dalej w <b><color=#620403>trybie standardowym</color></b>, żeby poznać inne frakcje.\n\nKiedy ukończysz ten etap, odblokujesz ramkę.
tutorial_hint_border_quest_hint;Ramki zacnie wzbogacają twoje awatary!
tutorial_hint_border_reward_popup;Oto twoja nowa ramka. Od razu ją dla ciebie wyposażyliśmy.
tutorial_hint_cardback_equip;Tu możesz wybrać swój rewers.
tutorial_hint_cardback_quest;Pora wypróbować <b><color=#620403>tryb standardowy</color></b>, najlepszy sposób na zapoznanie się z Gwintem.\n\nKiedy ukończysz ten etap, otrzymasz rewers.
tutorial_hint_cardback_quest_hint;Rewersy zmieniają wygląd twojej talii.
tutorial_hint_cardback_reward_popup;Odblokowujesz swój pierwszy rewers! Został automatycznie wyposażony.
tutorial_hint_contract_first_entry;Gratulacje! Właśnie odbierasz swój pierwszy kontrakt.
tutorial_hint_contract_first_entry_list_reference;Możesz znaleźć wszystkie kontrakty w swoim profilu.
tutorial_hint_daily_progress_banner;Każda wygrana runda zwiększa twój postęp koron.
tutorial_hint_deck_building_first_entry;Pora stworzyć twoją pierwszą talię. Wybierz swoją frakcję i umiejętność, a następnie swoje karty.
tutorial_hint_deck_building_first_entry_ability;Tutaj możesz wybrać umiejętność frakcji. Kliknij na którąś, by dowiedzieć się więcej.
tutorial_hint_deck_editing_first_entry;Tutaj możesz dodać posiadane karty do swojej talii, a także stworzyć nowe.
tutorial_hint_deck_selection;Możesz tu wybierać różne talie.
tutorial_hint_deck_selection_first_entry;To twoja kolekcja. Możesz tu tworzyć karty lub upiększać je przez transmutację. Możesz tu również otwierać swoje talie lub tworzyć nowe.
tutorial_hint_deck_selection_first_entry_collection;To jest twoja kolekcja kart.
tutorial_hint_deck_selection_first_entry_new_deck;Tutaj możesz podejrzeć talię lub zbudować nową.
tutorial_hint_deck_selection_first_entry_transumation;Tutaj możesz transmutować kartę, by jeszcze ją upiększyć.
tutorial_hint_deckbuilder_add_cards;Użyj <sprite="[PC]" name=Action_Preview> na kartach, żeby dodać je do swojej talii.
tutorial_hint_deckbuilder_add_cards_success;Świetnie! Wróćmy na małe testy.
tutorial_hint_deckbuilder_locked_decks;Rozgrywaj partie i zaliczaj postępy, żeby odblokowywać kolejne talie.
tutorial_hint_deckbuilder_rules;Każda talia zawiera minimum 25 kart, z czego przynajmniej {0} to jednostki. Każda karta ma też określony koszt werbunku – ich suma nie może przekraczać limitu werbunku wyznaczanego przez dowódcę talii.
tutorial_hint_deckbuilder_unlocked_decks;Możesz wybierać różne talie i zmieniać ich skład.
tutorial_hint_decks_quest;Ukończenie następnej <b><color=#620403>Rozgrywki standardowej</color></b> odblokuje talie startowe dla wszystkich frakcji.
tutorial_hint_decks_quest_hint;Pozwoli ci to grać różnymi frakcjami!
tutorial_hint_decks_quest_hint_2;To już prawie koniec! Rozegraj ostatnią partię, by ukonczyć trening.
tutorial_hint_decks_reward_popup;Wypróbuj je wszystkie!
tutorial_hint_first_match_description;<b>Rozegraj partię</b> i odblokuj swój pierwszy rewers!\nRewersy są wyśmienitym sposobem, aby odmienić wygląd twoich kart.
tutorial_hint_first_match_title;Ukończ swoją pierwszą rozgrywkę
tutorial_hint_good_game_button;Podziękuj przeciwnikowi za grę, klikając przycisk "Good Game".
tutorial_hint_keg_opening;Możesz teraz otworzyć swoją beczkę, wybierając ten przycisk.
tutorial_hint_keg_opening_2;Ostatnią kartę w każdej beczce wybierasz spośród 3 możliwości.
tutorial_hint_keg_opening_3;Pora dodać nowe karty do twojej talii. Zróbmy to teraz!
tutorial_hint_level_progress_banner;Każda rozgrywka daje ci punkty doświadczenia.
tutorial_hint_progress_to_unlock;Przejdź dalej, żeby odblokować.
tutorial_hint_rank_progress_banner;Każde zwycięstwo daje ci fragmenty mozaik.
tutorial_hint_rankup_outcome;Twoja ranga właśnie wzrosła, gratulacje!\n\nRanga wskazuje na twoją pozycję wśród innych graczy Gwinta.
tutorial_hint_reward_book_faction;Tutaj możesz wydawać punkty nagród, żeby odblokowywać ornamenty i dodatkowe nagrody.
tutorial_hint_reward_book_leader;W tym drzewku, poza zwykłymi nagrodami, możesz zdobyć specjalny ornament.
tutorial_hint_reward_book_main;To główne drzewko nagród frakcji. Kliknij je.
tutorial_hint_score;To jest podsumowanie gry.
tutorial_hint_second_match_description;W następnej rozgrywce nauczysz się grać kolejną frakcją i odblokujesz ramkę: Żołtodziób!\nRamki dodatkowo ozdabiają twój awatar!
tutorial_hint_second_match_title;Ukończ drugą rozgrywkę
tutorial_hint_shop_first_entry;Tutaj możesz kupić dostępne w grze przedmioty.
tutorial_hint_shop_first_time;Zobaczmy, co oferuje w swoim kramie Sklep!
tutorial_hint_social_panel_friends_first_entry;Tutaj możesz zapraszać znajomych i zmierzyć się z nimi.
tutorial_hint_social_panel_quests_first_entry;Tu masz listę zadań dziennych.
tutorial_hint_standard_mode_description;Czas spróbować rozgrywki w trybie standardowym. To najlepszy sposób, żeby zapoznać się z Gwintem!
tutorial_hint_third_match_description;Ukończenie następnej rozgrywki <b>odblokuje talie startowe dla wszystkich frakcji!</b>\nOtrzymasz także: 1 beczkę z kartami i inne zasoby do powiększania swojej kolekcji.
tutorial_hint_third_match_title;Ukończ finałową rozgrywkę
tutorial_hint_unlocked_achievements;Odblokowujesz kontrakty!
tutorial_keg_reward_failure;Wystąpił błąd podczas dodawania beczki do konta. Skontaktuj się z pomocą techniczną.
tutorial_keg_reward_text;Otrzymujesz beczkę z kartami!\nMożesz otworzyć ją w sklepie.
tutorial_keg_reward_title;GRATULACJE!
tutorial_question_question;Samouczek
tutorial_question_title;Czy chcesz przejść przez samouczek i poznać podstawy?
tutorial_reward_gems_desc;Otrzymałeś {0} Pyłu Meteorytowego! Możesz go wykorzystać do transmutacji kart!
tutorial_reward_gems_title;GRATULACJE!
tutorial_reward_ore_desc;Otrzymano złoto x {0}! Użyj go, aby kupić beczki z kartami w sklepie.
tutorial_reward_ore_title;GRATULACJE!
tutorial_reward_scraps_desc;Otrzymałeś {0} fragmentów! Możesz je wykorzystać do stworzenia nowych kart!
tutorial_reward_scraps_title;GRATULACJE!
tutorial_shop_question_question;Czy chcesz zobaczyć samouczek sklepu?
tutorial_shop_question_title;Samouczek sklepu
tutorial_victory_outcomescreen_celebration;Wygrywasz 2. i 3. rundę, a wraz z nimi całą partię! Gratulacje!
tutorial_welcome_desc;W toku trzech krótkich starć nauczymy cię, jak pokonać rywala. To nie powinno zająć więcej niż 20 minut.\n\nJeśli zorientujesz się w zasadach szybciej, zawsze możesz przerwać samouczek.
tutorial_welcome_title;Witaj w Gwincie!
tutorial_window_title;Samouczek
ui_ability_difficulty_advanced;Zaawansowany
ui_ability_difficulty_beginner;Podstawowy
ui_ability_hint_generic;Oto kilka kart z tą umiejętnością, które mogą być warte dodania do talii.
ui_ability_hint_title;Porady
ui_ability_name_1;Skorupa
ui_ability_name_10;Areszt
ui_ability_name_11;Przechera
ui_ability_name_12;Blokada
ui_ability_name_13;Mobilizacja
ui_ability_name_14;Dodatkowe zasoby
ui_ability_name_15;Ściana tarcz
ui_ability_name_16;Królewska inspiracja
ui_ability_name_17;Manewr okrążający
ui_ability_name_18;Natchniony zapał
ui_ability_name_19;Precyzyjne uderzenie
ui_ability_name_2;Moc natury
ui_ability_name_20;Czatownicza zasadzka
ui_ability_name_21;Pobudzenie
ui_ability_name_22;Zew harmonii
ui_ability_name_23;Taktyka partyzancka
ui_ability_name_24;Dar natury
ui_ability_name_25;Niedźwiedzi rytuał
ui_ability_name_26;Szturm
ui_ability_name_27;Ojcobójcza furia
ui_ability_name_28;Trans bitewny
ui_ability_name_29;Nawałnica ciosów
ui_ability_name_3;Białe Zimno
ui_ability_name_30;Gniew morza
ui_ability_name_31;Zgromadzenie
ui_ability_name_32;Zatoka piracka
ui_ability_name_33;Nagroda główna
ui_ability_name_34;Odliczenie
ui_ability_name_35;Krwawa forsa
ui_ability_name_36;Łapówka
ui_ability_name_39;Tajny skład
ui_ability_name_4;Rój krabopająków
ui_ability_name_40;Blask chwały
ui_ability_name_41;Mahakamska kuźnia
ui_ability_name_42;Insurekcja
ui_ability_name_43;Hochsztapler
ui_ability_name_44;Niepohamowany głód
ui_ability_name_5;Woń krwi
ui_ability_name_6;Owoce Ysgith
ui_ability_name_7;Taktyczna decyzja
ui_ability_name_8;Cesarska formacja
ui_ability_name_9;Zniewolenie
ui_ability_type_card_manipulation;Umiejętność manipulowania kartami
ui_ability_type_defensive;Umiejętność obronna
ui_ability_type_offensive;Umiejętność ofensywna
ui_ability_type_spawning;Umiejętność tworzenia
ui_ability_type_utility;Umiejętność funkcjonalna
ui_build_new_deck;Stwórz nową talię
ui_cant_edit_starter_deck;Nie możesz edytować talii startowej. Możesz ją jedynie zduplikować, a następnie zmodyfikować.
ui_cardback_group_1_title;Podstawowy
ui_cardback_group_10_title;Wydarzenie zimowe
ui_cardback_group_11_title;Wydarzenia z okazji Księżycowego Nowego Roku
ui_cardback_group_12_title;Wydarzenia miłosne
ui_cardback_group_13_title;Rok Szczurołaka
ui_cardback_group_14_title;Podróż Geralta
ui_cardback_group_15_title;World Masters
ui_cardback_group_16_title;Dodatek Pan Lusterko
ui_cardback_group_17_title;Podróż Ciri
ui_cardback_group_18_title;Wydarzenia Saovine
ui_cardback_group_19_title;Podróż Alzura
ui_cardback_group_2_title;Sezony Dzika
ui_cardback_group_20_title;Wiedźmini
ui_cardback_group_21_title;Cyberpunk 2077
ui_cardback_group_22_title;Podróż Yennefer
ui_cardback_group_23_title;Gwent Masters – Sezon 3
ui_cardback_group_24_title;Specjalne okazje
ui_cardback_group_25_title;Podróż Triss
ui_cardback_group_27_title;Przewrót na Thanedd
ui_cardback_group_28_title;Podróż po Aretuzie
ui_cardback_group_3_title;Sezony Szczurołaka
ui_cardback_group_30_title;Podróż Jaskra
ui_cardback_group_31_title;NA
ui_cardback_group_32_title;Rok Przeklętej Ropuchy
ui_cardback_group_33_title;Podróż
ui_cardback_group_34_title;Przesilenie letnie
ui_cardback_group_4_title;Rozszerzenie: Krwawa Klątwa
ui_cardback_group_5_title;Rozszerzenie: Novigrad
ui_cardback_group_6_title;Rozszerzenie: Żelazna Wola
ui_cardback_group_7_title;Wojna Krwi
ui_cardback_group_8_title;GWENT Partners
ui_cardback_group_9_title;Rozszerzenie: Kupcy Ofiru
ui_coin_group_1_title;Podstawowy
ui_coin_group_11_title;Podróż Triss
ui_coin_group_12_title;Rozszerzenie
ui_coin_group_13_title;Specjalne okazje
ui_coin_group_14_title;Podróż po Aretuzie
ui_coin_group_17_title;Podróż Jaskra
ui_coin_group_18_title;Gwent Masters – Sezon 4
ui_coin_group_19_title;Rok Przeklętej Ropuchy
ui_coin_group_2_title;Podróż Geralta
ui_coin_group_3_title;Podróż Ciri
ui_coin_group_4_title;Cyberpunk 2077
ui_coin_group_5_title;Podróż Alzura
ui_coin_group_6_title;Wydarzenie zimowe
ui_coin_group_7_title;Podróż Yennefer
ui_coin_group_9_title;Gwent Masters – Sezon 3
ui_complete;Ukończone
ui_crown_pieces;Połówki Koron
ui_db_build_a_deck;STWÓRZ TALIĘ
ui_db_change_ability;Zmień umiejętność
ui_db_deck_name_copy;Kopiuj
ui_db_duplicate_deck;Zduplikuj talię
ui_db_pick_your_faction;Wybierz swoją frakcję
ui_db_toggle_ability_hint;WŁĄCZ PORADY DOT. UMIEJĘTNOŚCI
ui_deckbuilder_clear_text;Wyczyść tekst
ui_equip;Wybierz
ui_final_round;Rozpoczęcie rundy finałowej
ui_gameboard_group_1_title;Podstawowy
