_inputshopbuymultiple;구매
shop_data_ep5_temptation_pack_title;유혹 팩
shop_data_ep5_twisted_board_desc;마스터 미러의 사악한 영역에 들어와, 그의 끝없는 시선 아래 적과 전투를 펼쳐 보시겠습니까?
shop_data_ep5_twisted_board_title;뒤틀린 세계 보드
shop_data_ep5cardback_recolor_desc;이 특별한 버전의 진화하는 마스터 미러 카드 뒷면과 함께 진정한 어둠을 받아들이세요.
shop_data_ep5cardback_recolor_title;사악한 나무 카드 뒷면
shop_data_ep6_15_keg_gaea_title;조각 28개, 위쳐의 길 카드통 15개
shop_data_ep6_15_keg_title;위쳐의 길 카드통 15개
shop_data_ep6_2_keg_gaea_title;조각 7개, 위쳐의 길 카드통 2개
shop_data_ep6_2_keg_title;위쳐의 길 카드통 2개
shop_data_ep6_40_keg_gaea_title;조각 68개, 위쳐의 길 카드통 40개
shop_data_ep6_40_keg_title;위쳐의 길 카드통 40개
shop_data_ep6_60_keg_gaea_title;조각 188개, 위쳐의 길 카드통 60개
shop_data_ep6_60_keg_title;위쳐의 길 카드통 60개
shop_data_ep6_7_keg_gaea_title;조각 18개, 위쳐의 길 카드통 7개
shop_data_ep6_7_keg_title;위쳐의 길 카드통 7개
shop_data_ep6_combo_desc;<sprite="PopupIcons" name="PremiumKeg"> 프리미엄 위쳐의 길 카드통 25개\n\n<sprite="PopupIcons" name="Board"> 알주르의 연구실 보드 - 구매 후 바로 착용 가능!\n\n<sprite="PopupIcons" name="Card"> 알주르 - 출시 예정 확장팩의 프리미엄 중립 카드 - 구매 후 바로 이용 가능!\n\n<sprite="PopupIcons" name="CardBack"> 위쳐의 길 변신 카드 뒷면 - 구매 후 바로 착용 가능!\n\n알주르의 여정 10레벨 부스트(왕관 조각 240개)\n\n<sprite="PopupIcons" name="Title"> 보너스 칭호: 위쳐 - 구매 후 바로 착용 가능!\n\n알주르의 사전 예약 팩 구성품과 비범한 사전 예약 팩 구성품을 한 번에 구매해 보세요! 이 매력적인 상품에는 위쳐 할인과 위쳐 보너스 칭호도 포함되어 있습니다!\n\n참고: 카드통은 위쳐의 길 확장팩이 출시되는 2020년 12월 8일 이후에 개봉할 수 있습니다. 여정 레벨은 플레이어 프로필에서 업적 보상으로 수령할 수 있습니다.
shop_data_ep6_combo_title;위쳐의 길 콤보 상품
shop_data_ep6_keg_desc;위쳐의 길 카드통에는 더욱 강력한 궨트 카드 컬렉션을 완성하기 위한 위쳐의 길 확장팩의 추가 카드가 포함되어 있습니다.\n\n위쳐의 길 카드통에는 총 5장의 위쳐의 길 확장팩 카드가 들어 있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_ep6_keg_title;위쳐의 길 카드통
shop_data_ep6_launch_pack_desc;<sprite="PopupIcons" name="PremiumKeg"> 위쳐의 길 프리미엄 카드통 45개\n\n<sprite="PopupIcons" name="Border"> 연구실 테두리 장식\n\n<sprite="PopupIcons" name="Avatar"> 코시모 아바타\n\n호기심을 받아들이고 위쳐의 길 확장팩에 추가되는 다양한 프리미엄 카드를 획득하세요.
shop_data_ep6_launch_pack_title;위쳐의 팩
shop_data_ep6_premium_15_keg_gaea_title;조각 35개, 프리미엄 위쳐의 길 카드통 15개
shop_data_ep6_premium_15_keg_title;프리미엄 위쳐의 길 카드통 15개
shop_data_ep6_premium_2_keg_gaea_title;조각 10개, 프리미엄 위쳐의 길 카드통 2개
shop_data_ep6_premium_2_keg_title;프리미엄 위쳐의 길 카드통 2개
shop_data_ep6_premium_40_keg_gaea_title;조각 80개, 프리미엄 위쳐의 길 카드통 40개
shop_data_ep6_premium_40_keg_title;프리미엄 위쳐의 길 카드통 40개
shop_data_ep6_premium_60_keg_gaea_title;조각 260개, 프리미엄 위쳐의 길 카드통 60개
shop_data_ep6_premium_60_keg_title;프리미엄 위쳐의 길 카드통 60개
shop_data_ep6_premium_7_keg_gaea_title;조각 25개, 프리미엄 위쳐의 길 카드통 7개
shop_data_ep6_premium_7_keg_title;프리미엄 위쳐의 길 카드통 7개
shop_data_ep6_preorder1_desc;<sprite="PopupIcons" name="PremiumKeg"> 프리미엄 위쳐의 길 카드통 25개\n\n<sprite="PopupIcons" name="Board"> 알주르의 연구실 보드 - 구매 후 바로 착용 가능!\n\n<sprite="PopupIcons" name="Card"> 알주르 - 출시 예정 확장팩의 프리미엄 중립 카드 - 구매 후 바로 이용 가능!\n\n불가사의로 가득한 마법사 알주르의 연구실에서 궨트의 새로운 전설 카드와 함께 전투를 펼쳐 보세요!\n\n참고: 카드통은 위쳐의 길 확장팩이 출시되는 2020년 12월 8일 이후에 개봉할 수 있습니다.
shop_data_ep6_preorder1_title;알주르의 사전 예약 팩
shop_data_ep6_preorder2_desc;<sprite="PopupIcons" name="CardBack"> 위쳐의 길 변신 카드 뒷면 - 구매 후 바로 착용 가능!\n\n알주르의 여정 10레벨 부스트(왕관 조각 240개)\n\n위쳐의 길 카드 뒷면은 여러분이 궨트의 전장에서 이끄는 세력에 따라 외형이 변화합니다. 이것만으로도 매력적이지만, 여정 티어에 상관없이 여정 진행도를 올릴 수 있게 10레벨 부스트 효과까지 제공되죠. 정말 비범하지 않나요?\n\n참고: 카드통은 위쳐의 길 확장팩이 출시되는 2020년 12월 8일 이후에 개봉할 수 있습니다. 여정 레벨은 플레이어 프로필에서 업적 보상으로 수령할 수 있습니다.
shop_data_ep6_preorder2_title;비범한 사전 예약 팩
shop_data_festival_bundle_desc;<sprite="PopupIcons" name="Avatar"> 무용수 아바타\n\n<sprite="PopupIcons" name="Border"> 축제 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "축제 무용수" 칭호\n\n같이 춤출까요? 다가오는 여름을 축하하며 신나게 놀아 보세요!
shop_data_festival_bundle_title;축제 번들
shop_data_first_bundles_promo_title;침략자 / 북부 왕국 / 마하캄 번들
shop_data_frozen_bundle_desc;<sprite="PopupIcons" name="Skin"> 얼어붙은 스킨\n\n<sprite="PopupIcons" name="Board"> 데머번드의 자부심 보드\n\n얼음장같이 차가운 공기가 느껴지시나요...?\n\n이 번들은 쥐인간의 해, 궨트 오픈 3 기간에 출시되었던 번들입니다.
shop_data_frozen_bundle_title;얼어붙은 번들
shop_data_gang_bundle_desc;궨트의 새로운 세력을 위한 리더 테두리 장식으로 신디케이트에 대한 충성심을 보여 주세요. 구성품은 다음과 같습니다: \n\n <sprite="PopupIcons" name="Border">클리버 테두리 장식\n\n <sprite="PopupIcons" name="Border">사생아 주니어 테두리 장식\n\n <sprite="PopupIcons" name="Border">구드론 비욘스도티르 테두리 장식\n\n <sprite="PopupIcons" name="Border">거지 왕초 테두리 장식\n\n <sprite="PopupIcons" name="Border">사이러스 헴멜파트 테두리 장식\n\n<sprite="PopupIcons" name="Border">시기스문드 딕스트라 테두리 장식
shop_data_gang_bundle_title;신디케이트 리더 테두리 장식 번들
shop_data_gaunter_dark_skin_desc;<sprite="PopupIcons" name="Skin"> 군터 오딤 어둠의 스킨(중립) \n\n궨트의 드래프트 모드 베타 기간을 기념하기 위해 악의 화신, 군터 오딤이 전장에 등장했습니다. 지금까지 한 번도 보여 준 적 없는 악마와 같은 모습으로 말이죠.
shop_data_gaunter_dark_skin_title;군터 오딤 어둠의 스킨
shop_data_griffin_cardback_desc;그리핀 교단을 향한 애정을 보여 주세요!\n\n이 카드 뒷면은 야생 멧돼지의 해의 그리핀 시즌 동안 최초로 잠금 해제할 수 있었던 아이템입니다.
shop_data_griffin_cardback_title;그리핀 카드 뒷면
shop_data_halloween_2020_treasure_chest_desc;지난 전투에서 찾은 먼지투성이 상자입니다. 안에 무엇이 들어있을까요?
shop_data_halloween_2020_treasure_chest_title;잊힌 드워프 보물
shop_data_harald_rider_skin_desc;봄에는 바다 건너 약탈하러 가는 게 제맛이죠! 사실 봄이 아니라도 좋고요! 하랄드 안 크라이트를 위한 이 영광스러운 신규 스킨과 함께 약탈을 준비하세요!
shop_data_harald_rider_skin_title;레이더 스킨
shop_data_homecoming_pack_desc;궨트 전격 출시를 기념하여 홈커밍 팩을 준비했습니다. 포함 내용:\n\n    <sprite="PopupIcons" name="Card">전설 카드 1장\n\n    <sprite="PopupIcons" name="Keg">기본 세트 카드통 24개\n\n<sprite="PopupIcons" name="Powder">운석 가루 500개\n\n    <sprite="PopupIcons" name="Ticket">아레나 입장권 5장
shop_data_homecoming_pack_promo_title;홈커밍 팩
shop_data_homecoming_pack_title;홈커밍 팩
shop_data_ice_pack_open3_desc;<sprite="PopupIcons" name="Avatar"> 얼어붙은 아바타\n\n<sprite="PopupIcons" name="Border"> 애니메이션 얼음 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "얼어붙은" 칭호\n\n<sprite="PopupIcons" name="Powder"> 운석 가루 400개\n\n덜덜덜, 너무 춥지 않나요?\n\n이 팩을 구매하여 esports를 후원해 보세요! 구매 비용 중 30%는 2020년 8월에 열리는 궨트 오픈 3의 상금으로 사용됩니다!
shop_data_ice_pack_open3_title;얼음 팩(궨트 오픈 3)
shop_data_invaders_bundle_desc;쓰론브레이커 스토리 속 닐프가드의 침략이 테마인 이 번들에는 다음과 같은 내용물이 들어 있습니다.\n\n 에이단 보드\n\n 에미르 스킨 - 백색 화염\n\n 메노 코에훈 아바타
shop_data_invaders_bundle_title;침략자 번들
shop_data_kitty_bundle_desc;<sprite="PopupIcons" name="Avatar"> 새끼 고양이 아바타\n\n<sprite="PopupIcons" name="Border"> 쥐 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "악동" 칭호\n\n이 장난기 많은 새끼 고양이 번들로 고양이 시즌의 시작을 기념하세요. 야옹!
shop_data_kitty_bundle_title;새끼 고양이 번들
shop_data_love_season_bundle_desc;<sprite="PopupIcons" name="CardBack"> 사랑 카드 뒷면\n\n<sprite="PopupIcons" name="Avatar"> 시즌 전용 아바타 3개: 프리실라 아바타, 단델라이온 아바타, 서큐버스 아바타\n\n<sprite="PopupIcons" name="Border"> 시즌 전용 아바타 4개: 추앙자 테두리 장식, 애교만점 테두리 장식, 카사노바 테두리 장식, 모두의 연인 테두리 장식\n\n<sprite="PopupIcons" name="Title"> 보너스 칭호: 진정한 낭만주의자\n\n이 특별한 번들에는 사랑 시즌 동안 궨트에서 얻을 수 있었던 장식 아이템과 특별한 보너스 아이템이 들어 있습니다!
shop_data_love_season_bundle_title;사랑 시즌 번들
shop_data_mahakam_board_desc;<sprite="PopupIcons" name="Board"> 마하캄 보드(중립) \n\n마하캄의 산악 지형으로 들어가, 얼어붙은 마하캄 요새의 장엄한 전투에서 승리를 쟁취하세요.
shop_data_mahakam_board_title;마하캄 보드
shop_data_mahakam_bundle_desc;쓰론브레이커 스토리 속 마하캄을 누비는 메브의 여정이 테마인 이 번들에는 다음과 같은 내용물이 들어 있습니다.\n\n 마하캄 보드\n\n 브루버 스킨 - 마하캄 수호자\n\n 마하캄 경비병 아바타
shop_data_mahakam_bundle_title;마하캄 번들
shop_data_mahakam_cardback_desc;마하캄의 얼어붙은 땅을 향한 애정을 보여 주세요!\n\n이 카드 뒷면은 야생 멧돼지의 해의 마하캄 시즌 동안 최초로 잠금 해제할 수 있었던 아이템입니다.
shop_data_mahakam_cardback_title;마하캄 카드 뒷면
shop_data_mahakam_seasonal_bundle_desc;<sprite="PopupIcons" name="Avatar"> 가스 락스튜 아바타\n\n<sprite="PopupIcons" name="Border"> 대장로 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "마하캄 출신" 칭호\n\n이 번들에는 야생 멧돼지의 해의 마하캄 시즌 동안 최초로 잠금 해제할 수 있었던 장식 아이템과, 특별한 신규 보너스 아이템이 들어 있습니다!
shop_data_mahakam_seasonal_bundle_title;마하캄 번들
shop_data_masters_cardback_season2_desc;<sprite="PopupIcons" name="CardBack">월드 마스터즈 시즌 2 카드 뒷면\n\n이전 오픈의 4 원소가 모두 결합된 이 특별한 카드 뒷면으로 궨트 마스터즈 시즌 2를 기념하세요.
shop_data_masters_cardback_season2_title;월드 마스터즈 시즌 2 카드 뒷면
shop_data_meteorite_powder_desc;운석 가루로 일반 카드를 애니메이션이 있는 프리미엄 카드로 변환하거나, 상점의 다른 항목에서 장식 아이템을 구매할 수 있습니다.
shop_data_midwinter_bundle_desc;<sprite="PopupIcons" name="Skin"> 산타 크래치 리더 스킨(스켈리게)\n\n<sprite="PopupIcons" name="Border"> 크리스마스 반지 테두리 장식\n\n<sprite="PopupIcons" name="Border"> 순록\n\n<sprite="PopupIcons" name="Avatar"> 에르미온 아바타\n\n<sprite="PopupIcons" name="Title"> '축제광' 칭호\n\n이 특별한 기념 번들로 궨트 컬렉션에 겨울 테마 장식을 추가하고 한겨울을 기념하세요!
shop_data_midwinter_pack_desc;<sprite="PopupIcons" name="Keg">전설 카드 1장\n\n    <sprite="PopupIcons" name="Keg">기본 세트 카드통 50개\n\n    <sprite="PopupIcons" name="Scraps">조각 1,000개\n\n    <sprite="PopupIcons" name="Powder">운석 가루 1,000개\n\n    <sprite="PopupIcons" name="Ticket">아레나 입장권 10장
shop_data_midwinter_pack_title;한겨울 팩
shop_data_minstrel_bundle_desc;<sprite="PopupIcons" name="Avatar"> 음악가 아바타\n\n<sprite="PopupIcons" name="Border"> 모닥불 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "음악가" 칭호\n\n친구들과 함께 모닥불 옆에 모여 앉아, 궨트를 즐기며 재미있는 이야기를 나눠 보세요!
shop_data_minstrel_bundle_title;음악가 번들
shop_data_monster_keg_15_title;괴물 카드통 15개
shop_data_monster_keg_15_title_gaea;Ignore.
shop_data_monster_keg_2_title;괴물 카드통 2개
shop_data_monster_keg_2_title_gaea;Ignore.
shop_data_monster_keg_40_title;괴물 카드통 40개
shop_data_monster_keg_40_title_gaea;Ignore.
shop_data_monster_keg_60_title;괴물 카드통 60개
shop_data_monster_keg_60_title_gaea;Ignore.
shop_data_monster_keg_7_title;괴물 카드통 7개
shop_data_monster_keg_7_title_gaea;Ignore.
shop_data_monster_keg_desc;괴물 카드통에는 총 5장의 괴물 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_monster_keg_title;괴물 카드통
shop_data_monsters_evolving_faction_pack_desc;<sprite="PopupIcons" name="Keg"> 괴물 카드통 5개\n\n<sprite="PopupIcons" name="Card"> 오베론: 왕 카드\n\n<sprite="PopupIcons" name="Border"> 괴물 테두리 장식\n\n신규 유저를 위한 최고의 선택입니다! 여러분이 가장 좋아하는 세력을 강화하세요! 이 팩에는 괴물 세력 카드만 나오는 괴물 카드통 5개, 엄선된 괴물 골드 카드와 특별한 세력 테두리 장식이 들어 있습니다.
shop_data_myrgtabrakke_bundle_desc;<sprite="PopupIcons" name="Avatar"> 미르그타브라케 아바타\n\n<sprite="PopupIcons" name="Border"> 새끼 용 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "녹색 용" 칭호\n\n\n유명한 녹색 용, 미르그타브라케에게서 영감을 얻은 이 이국적인 번들로 드라코니드 시즌의 시작을 기념하세요!
shop_data_myrgtabrakke_bundle_title;미르그타브라케 번들
shop_data_neutral_keg_desc;중립 카드통에는 총 5장의 중립 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_neutral_keg_title;중립 카드통
shop_data_nilfgaard_evolving_faction_pack_desc;<sprite="PopupIcons" name="Keg"> 닐프가드 카드통 5개\n\n<sprite="PopupIcons" name="Card"> 찬탈자: 장교 카드\n\n<sprite="PopupIcons" name="Border"> 닐프가드 테두리 장식\n\n신규 유저를 위한 최고의 선택입니다! 여러분이 가장 좋아하는 세력을 강화하세요! 이 팩에는 닐프가드 세력 카드만 나오는 닐프가드 카드통 5개, 엄선된 닐프가드 골드 카드와 특별한 세력 테두리 장식이 들어 있습니다.
shop_data_nilfgaard_keg_15_title;닐프가드 카드통 15개
shop_data_nilfgaard_keg_15_title_gaea;Ignore.
shop_data_nilfgaard_keg_2_title;닐프가드 카드통 2개
shop_data_nilfgaard_keg_2_title_gaea;Ignore.
shop_data_nilfgaard_keg_40_title;닐프가드 카드통 40개
shop_data_nilfgaard_keg_40_title_gaea;Ignore.
shop_data_nilfgaard_keg_60_title;닐프가드 카드통 60개
shop_data_nilfgaard_keg_60_title_gaea;Ignore.
shop_data_nilfgaard_keg_7_title;닐프가드 카드통 7개
shop_data_nilfgaard_keg_7_title_gaea;Ignore.
shop_data_nilfgaard_keg_desc;닐프가드 카드통에는 총 5장의 닐프가드 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_nilfgaard_keg_title;닐프가드 카드통
shop_data_north_bundle_desc;북부 왕국이 테마인 이 번들에는 다음과 같은 내용물이 들어 있습니다.\n\n 리리아 보드\n\n 데머번드 스킨 - 리리아 아군\n\n 콜드웰 백작 아바타
shop_data_north_bundle_title;북부 왕국 번들
shop_data_northern_keg_15_title;북부 왕국 카드통 15개
shop_data_northern_keg_15_title_gaea;Ignore.
shop_data_northern_keg_2_title;북부 왕국 카드통 2개
shop_data_northern_keg_2_title_gaea;Ignore.
shop_data_northern_keg_40_title;북부 왕국 카드통 40개
shop_data_northern_keg_40_title_gaea;Ignore.
shop_data_northern_keg_60_title;북부 왕국 카드통 60개
shop_data_northern_keg_60_title_gaea;Ignore.
shop_data_northern_keg_7_title;북부 왕국 카드통 7개
shop_data_northern_keg_7_title_gaea;Ignore.
shop_data_northern_keg_desc;북부 왕국 카드통에는 총 5장의 북부 왕국 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_northern_keg_title;북부 왕국 카드통
shop_data_northern_realms_evolving_faction_pack_desc;<sprite="PopupIcons" name="Keg"> 북부 왕국 카드통 5개\n\n<sprite="PopupIcons" name="Card"> 비락사스: 왕자 카드\n\n<sprite="PopupIcons" name="Border"> 북부 왕국 테두리 장식\n\n신규 유저를 위한 최고의 선택입니다! 여러분이 가장 좋아하는 세력을 강화하세요! 이 팩에는 북부 왕국 세력 카드만 나오는 북부 왕국 카드통 5개, 엄선된 북부 왕국 골드 카드와 특별한 세력 테두리 장식이 들어 있습니다.
shop_data_now_available_ promo_desc;지금 사용 가능!
shop_data_overgrown_bundle_desc;<sprite="PopupIcons" name="Skin"> 초록색 크리켓 스킨\n\n<sprite="PopupIcons" name="Board"> 잊혀진 보드\n\n자연이 세상을 점령했습니다! 아름답지 않나요?\n\n이 번들은 쥐인간의 해, 궨트 오픈 2 기간에 출시되었던 번들입니다.
shop_data_overgrown_bundle_title;과성장 번들(궨트 오픈 2)
shop_data_passiflora_bundle_desc;<sprite="PopupIcons" name="Border"> 파시플로라 테두리 장식 \n\n<sprite="PopupIcons" name="Avatar"> 아므린, 나르시사, 비올라 아바타\n\n<sprite="PopupIcons" name="Title"> "파시플로라 챔피언" 칭호\n\n\n사랑스러운 여인과 고상한 취향, 자유도시 최고의 궨트 플레이어들이 있는 곳... 파시플로라 번들로 노비그라드만의 멋을 뽐내 보세요!
shop_data_passiflora_bundle_title;파시플로라 번들
shop_data_premium_cc_keg_desc;프리미엄 핏빛 저주 카드통에는 총 5장의 <b>프리미엄</b> 핏빛 저주 확장판 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_premium_cc_keg_title;프리미엄 핏빛 저주 카드통
shop_data_premium_keg_desc;프리미엄 카드통에는 총 5장의 기본 세트 <b>프리미엄</b> 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_premium_keg_title;프리미엄 기본 세트 카드통
shop_data_prosperity_pack_2021_desc;<sprite="PopupIcons" name="PremiumKeg"> 얼티밋 프리미엄 카드통 25개\n\n<sprite="PopupIcons" name="Powder"> 운석 가루 400개\n\n<sprite="PopupIcons" name="Card"> 스노우드롭 전설 카드\n\n<sprite="PopupIcons" name="Avatar"> 황소 아바타\n\n<sprite="PopupIcons" name="Border"> 설날 상점 테두리 장식\n\n<sprite="PopupIcons" name="Title"> '설맞이' 칭호\n\n새로운 장식품과 강력한 전설 카드, 대량의 운석 가루로 여러분의 컬렉션을 확장하고, 강화하고, 업그레이드하세요! 새해 복 많이 받으세요!
shop_data_saovine_bundle_desc;<sprite="PopupIcons" name="Avatar"> 넥커 아바타 \n\n<sprite="PopupIcons" name="Border"> 사악한 사오바인 테두리 장식 \n\n<sprite="PopupIcons" name="Title"> "사악한" 칭호 \n\n누군가 지켜보고 있는 것 같나요? 바위나 나무 뒤에서 여러분을 지켜보며 때를 기다리고 있는 넥커일 수도 있습니다... 이 악마같이 끔찍한 아바타와 사악한(말 그대로죠!) 테두리 장식 및 칭호를 착용하고 유심히 살펴보세요.
shop_data_saovine_bundle_title;사악한 사오바인 번들
shop_data_school_of_griffin_bundle_desc;<sprite="PopupIcons" name="Avatar"> 카겐의 조지 아바타\n\n<sprite="PopupIcons" name="Border"> 아크그리핀 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "카겐 출신" 칭호\n\n이 번들에는 야생 멧돼지의 해의 그리핀 시즌 동안 최초로 잠금 해제할 수 있었던 장식 아이템과, 특별한 신규 보너스 아이템이 들어 있습니다!
shop_data_school_of_griffin_bundle_title;그리핀 교단 번들
shop_data_scoiatael_evolving_faction_pack_desc;<sprite="PopupIcons" name="Keg"> 스코이아텔 카드통 5개\n\n<sprite="PopupIcons" name="Card"> 에트나: 젊은 여왕 카드\n\n<sprite="PopupIcons" name="Border"> 스코이아텔 테두리 장식\n\n신규 유저를 위한 최고의 선택입니다! 여러분이 가장 좋아하는 세력을 강화하세요! 이 팩에는 스코이아텔 세력 카드만 나오는 스코이아텔 카드통 5개, 엄선된 스코이아텔 골드 카드와 특별한 세력 테두리 장식이 들어 있습니다.
shop_data_scoiatael_keg_15_title;스코이아텔 카드통 15개
shop_data_scoiatael_keg_15_title_gaea;Ignore.
shop_data_scoiatael_keg_2_title;스코이아텔 카드통 2개
shop_data_scoiatael_keg_2_title_gaea;Ignore.
shop_data_scoiatael_keg_40_title;스코이아텔 카드통 40개
shop_data_scoiatael_keg_40_title_gaea;Ignore.
shop_data_scoiatael_keg_60_title;스코이아텔 카드통 60개
shop_data_scoiatael_keg_60_title_gaea;Ignore.
shop_data_scoiatael_keg_7_title;스코이아텔 카드통 7개
shop_data_scoiatael_keg_7_title_gaea;Ignore.
shop_data_scoiatael_keg_desc;스코이아텔 카드통에는 총 5장의 스코이아텔 카드가 들어있습니다. 그중 4장의 카드는 일반 등급 이상의 카드이며, 5번째 카드는 희귀 등급 이상의 카드 3장 중에서 원하는 1장을 선택하여 획득하게 됩니다.
shop_data_scoiatael_keg_title;스코이아텔 카드통
shop_data_sheep_bundle_desc;<sprite="PopupIcons" name="Avatar"> 양 아바타\n\n<sprite="PopupIcons" name="Border"> 양 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "선한 목자" 칭호\n\n이 번들에는 야생 멧돼지의 해의 그리핀 시즌 동안 잠금 해제할 수 있었던 장식 아이템과, 특별한 신규 보너스 아이템이 들어 있습니다!
shop_data_sheep_bundle_title;양 번들
shop_data_shupe_base_skin_desc;<sprite="PopupIcons" name="Skin"> 슙 스킨(모든 세력) \n\n바위에 형형색색의 종이 조각을 붙이며 놀거나 엘프양파 수프를 즐기는 트롤이 누구일까요? 바로 슙이죠! \n\n이 특별한 커스터마이징 슙 중립 리더 스킨과 함께, 슙의 화끈한 성격과 트롤 특유의 매력을 뽐내며 궨트의 전장을 지배하세요. \n\n알림: 이 아이템은 슙의 사오바인 번들 상품을 구매해도 이용 가능합니다.
shop_data_shupe_base_skin_title;슙 스킨
shop_data_shupe_borders_bundle_desc;<sprite="PopupIcons" name="Title"> 슙 칭호 1개: "모험가"\n\n<sprite="PopupIcons" name="Avatar"> 슙 아바타 1개: 슙!\n\n<sprite="PopupIcons" name="Border"> 슙 테두리 장식 3개: 기사, 사냥꾼, 마법사\n\n\n슙과 함께 모험을 떠나 보세요! 슙 테두리 장식 번들로 쉬는 날에 어딜 다녀왔는지 모두에게 자랑해 보세요!
shop_data_shupe_borders_bundle_title;슙의 반짝이 번들
shop_data_shupe_pumpkin_bundle_desc;<sprite="PopupIcons" name="Skin"> 슙 스킨(중립) \n\n<sprite="PopupIcons" name="Trinket"> 호박 머리 장신구(슙 중립 스킨과 사용 가능) \n\n<sprite="PopupIcons" name="Avatar"> 호박 머리 아바타 \n\n<sprite="PopupIcons" name="Title"> "호박 머리" 칭호 \n\n절대 속임수가 아닙니다! 사오바인 번들을 구매하면, 커스터마이징이 가능한 중립 슙 리더 스킨을 포함해 가장 슙 같으면서도 으스스한 아이템들을 얻을 수 있습니다. 할인된 가격에 번들을 구매하세요! \n\n알림: 이 특별한 번들에는 슙 스킨과 슙의 호박 머리 상품에서 얻을 수 있는 장식품이 들어있습니다.
shop_data_shupe_pumpkin_bundle_title;슙의 사오바인 번들
shop_data_shupe_pumpkin_trinket_desc;<sprite="PopupIcons" name="Trinket"> 호박 머리 장신구(슙 중립 스킨과 사용 가능) \n\n<sprite="PopupIcons" name="Avatar"> 호박 머리 아바타 \n\n<sprite="PopupIcons" name="Title"> "호박 머리" 칭호 \n\n전장에서는 머리를 잃지 않게 잘 지켜야 합니다. 슙도 잘 알고 있죠! 그래서 언제나 여분의 머리를 들고 다니는 겁니다. 호박 머리긴 하지만, 이 으스스한 사오바인에는 비장의 무기가 될 수도 있습니다! \n\n알림: 이 아이템은 슙의 사오바인 번들 상품을 구매해도 이용 가능합니다.
shop_data_shupe_pumpkin_trinket_title;슙의 호박 머리
shop_data_skald_bundle_desc;<sprite="PopupIcons" name="Avatar"> 음유시인 아바타\n\n<sprite="PopupIcons" name="Border"> 술집 테두리 장식\n\n<sprite="PopupIcons" name="Title"> "유명한 음유시인" 칭호\n\n이 번들로 전설적인 족장의 영웅적인 발자취와 그를 상대했던 적들의 불행을 다시 체험해 보세요!
shop_data_skald_bundle_title;음유시인 번들
shop_data_skellige_evolving_faction_pack_desc;<sprite="PopupIcons" name="Keg"> 스켈리게 카드통 5개\n\n<sprite="PopupIcons" name="Card"> 하랄드 안 크라이트 카드\n\n<sprite="PopupIcons" name="Border"> 스켈리게 테두리 장식\n\n신규 유저를 위한 최고의 선택입니다! 여러분이 가장 좋아하는 세력을 강화하세요! 이 팩에는 스켈리게 세력 카드만 나오는 스켈리게 카드통 5개, 엄선된 스켈리게 골드 카드와 특별한 세력 테두리 장식이 들어 있습니다.
shop_data_skellige_keg_15_title;스켈리게 카드통 15개
shop_data_skellige_keg_15_title_gaea;Ignore.
shop_data_skellige_keg_2_title;스켈리게 카드통 2개
shop_data_skellige_keg_2_title_gaea;Ignore.
shop_data_skellige_keg_40_title;스켈리게 카드통 40개
shop_data_skellige_keg_40_title_gaea;Ignore.
shop_data_skellige_keg_60_title;스켈리게 카드통 60개
shop_data_skellige_keg_60_title_gaea;Ignore.
shop_data_skellige_keg_7_title;스켈리게 카드통 7개
shop_data_skellige_keg_7_title_gaea;Ignore.
