_inputshopbuymultiple;购买
shop_data_syndicate_keg_15_title;x15 “辛迪加”牌桶
shop_data_syndicate_keg_15_title_gaea;碎片 x28，“辛迪加”牌桶 x15
shop_data_syndicate_keg_2_title;x2 “辛迪加”牌桶
shop_data_syndicate_keg_2_title_gaea;碎片 x7，“辛迪加”牌桶 x2
shop_data_syndicate_keg_40_title;x40 “辛迪加”牌桶
shop_data_syndicate_keg_40_title_gaea;碎片 x68，“辛迪加”牌桶 x40
shop_data_syndicate_keg_60_title;x60 “辛迪加”牌桶
shop_data_syndicate_keg_60_title_gaea;碎片 x188，“辛迪加”牌桶 x60
shop_data_syndicate_keg_7_title;x7 “辛迪加”牌桶
shop_data_syndicate_keg_7_title_gaea;碎片 x18，“辛迪加”牌桶 x7
shop_data_tavern_brawler_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：酒馆\n\n<sprite="PopupIcons" name="Title">称号：酒馆斗殴好手\n\n来！高举酒杯…大干一场！
shop_data_tavern_brawler_bundle_title;酒馆斗殴好手捆绑包
shop_data_tavern_bundle_desc;<sprite="PopupIcons" name="Board">战场：金鲟酒馆\n\n把酒客都叫上！进去玩一把昆特牌！
shop_data_tavern_bundle_title;酒馆战场
shop_data_thronebreaker_desc;《王权的陨落》是《巫师之昆特牌》基于猎魔人世界背景的单人战役模式。通过注重技巧而非运气的卡牌战斗系统，玩家将重返利维亚的杰洛特所生活的那个怪物横行的世界。
shop_data_thronebreaker_title;王权的陨落
shop_data_tiger_bundle_desc;<sprite="PopupIcons" name="Board">战场：虎年\n\n<sprite="PopupIcons" name="CardBack">卡背：虎年\n\n虎虎生威，百战百胜！\n该卡背春节特卖活动期间七折优惠。
shop_data_tiger_bundle_title;虎年捆绑包
shop_data_time_of_day_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：每日时刻\n\n<sprite="PopupIcons" name="Title">称号：早鸟\n\n<sprite="PopupIcons" name="Title">称号：夜枭\n\n获取此产品来支持《巫师之昆特牌》电竞；此礼包收入的 50% 将直接纳入《巫师之昆特牌》大师赛的奖池中，2022 年 12 月开赛，敬请期待！
shop_data_time_of_day_bundle_title;每日时刻捆绑包
shop_data_triss&geralt_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：特莉丝与杰洛特\n\n<sprite="PopupIcons" name="Border">边框：自然\n\n<sprite="PopupIcons" name="Avatar">头像：为爱迷醉的特莉丝\n\n<sprite="PopupIcons" name="Avatar">头像：为爱迷醉的杰洛特\n\n<sprite="PopupIcons" name="Title">称号：为爱迷醉n\n僻静花园的温热夏夜，胜过任何魔法。
shop_data_triss&geralt_bundle_title;特莉丝与杰洛特捆绑包
shop_data_ultimate_pack_desc;<sprite="PopupIcons" name="PremiumKeg">x1 终极闪卡牌桶\n\n<sprite="PopupIcons" name="Card">x1 传说品质闪卡（三选一）\n\n购买终极卡包，扩展你的牌组！
shop_data_ultimate_pack_game_awards_2022_desc;<sprite="PopupIcons" name="Keg">x1 终极牌桶\n\n<sprite="PopupIcons" name="PremiumCard">杰洛特：亚登法印\n\n拓展您的藏品！借助闪卡“杰洛特：亚登法印”和终极牌桶中其它卡牌的力量击败敌人。感谢您收看2022 TGA 游戏大奖颁奖典礼！
shop_data_ultimate_pack_title;终极卡包
shop_data_ultimate_premium_keg_title;终极闪卡牌桶
shop_data_ultimate_premium_kegs_1_title;x1 终极闪卡牌桶
shop_data_ultimate_premium_kegs_1_title_gaea;x1 终极闪卡牌桶，碎片 x8
shop_data_ultimate_premium_kegs_desc;此终极闪卡牌桶内含所有已加入卡池的闪卡，是您快速扩充卡牌收藏的不二利器！\n\n开启牌桶，您将获得 5 张任意卡池的闪卡，其中 4 张至少为普通品质，而第 5 张必为稀有以上品质（三选一）。
shop_data_ultimate_starter_pack_desc;<sprite="PopupIcons" name="Keg">x7 终极牌桶\n\n <sprite="PopupIcons" name="Keg">x7 “猩红诅咒”牌桶\n\n <sprite="PopupIcons" name="Keg">x7 “诺城之火”牌桶\n\n<sprite="PopupIcons" name="Keg">x7 “钢铁审判”牌桶\n\n<sprite="PopupIcons" name="Keg">x7 “异域游商”牌桶\n\n获取本礼包后可以让您快速丰富自己的卡牌收藏，构筑一套属于自己的强大牌组，踏入激烈的战场。\n
shop_data_urcheon_event_pack_desc;<sprite="PopupIcons" name="PremiumKeg">终极闪卡牌桶\n\n<sprite="PopupIcons" name="Card">伊伦瓦尔德的乌奇翁\n\n<sprite="PopupIcons" name="Title">称号：伊伦瓦尔德的\n\n忍受命运的嘲弄，一路披荆斩棘，为真爱而战。
shop_data_urcheon_event_pack_title;伊伦瓦尔德的乌奇翁礼包
shop_data_usurper_emperor_skin_desc;<sprite="PopupIcons" name="Skin">皮肤：帝国之王（尼弗迦德）\n\n执掌一切，从尼弗迦德的王座上，夺回属于自己的那一份。
shop_data_usurper_emperor_skin_title;皮肤：帝国夺权者
shop_data_viper_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：瑟瑞特\n\n<sprite="PopupIcons" name="Border">边框：瑟瑞特\n\n<sprite="PopupIcons" name="Title">称号：“毒蛇”\n\n该捆绑包内含曾在野猪年 -“毒蛇”赛季首度推出的可解锁装饰品。
shop_data_viper_bundle_title;毒蛇学派捆绑包
shop_data_viper_cardback_2020_desc;<sprite="PopupIcons" name="CardBack">卡背：“毒蛇”赛季\n\n该卡背曾在鼠年 -“毒蛇”赛季作为可解锁装饰品首度推出。
shop_data_viper_cardback_2020_title;卡背：“毒蛇”赛季（2020）
shop_data_viziman_champion_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：饮宴者\n\n<sprite="PopupIcons" name="Border">边框：麦酒\n\n<sprite="PopupIcons" name="Title">称号：维吉玛冠军\n\n闷一口*嗝*泰莫利亚，最好的酒，然后一起，呃…*嗝*狂欢！
shop_data_viziman_champion_bundle_title;“维吉玛冠军”捆绑包
shop_data_wererat_year_bundle_desc;<sprite="PopupIcons" name="Board">战场：沟渠\n\n<sprite="PopupIcons" name="CardBack">卡背：鼠王\n\n<sprite="PopupIcons" name="Skin">皮肤：无情\n\n是时候吓吓别人了！\n曾在鼠年首次推出。
shop_data_winter_board_desc;<sprite="PopupIcons" name="Board">战场：寒冬\n\n你想买…带头环的猪吗？！圣诞已经来了？\n本战场曾在野猪年的 2019 圣诞活动中作为可解锁装饰品首度推出。
shop_data_winter_board_desc_sale;<sprite="PopupIcons" name="Board">战场：寒冬\n\n你想买…带头环的猪吗？！圣诞已经来了？\n本战场曾在野猪年的 2019 圣诞活动中作为可解锁装饰品首度推出，并将于冬日活动特卖时享受 7 折优惠。
shop_data_winter_bundle_open1_desc;<sprite="PopupIcons" name="Board">战场：寒冬\n\n<sprite="PopupIcons" name="CardBack">卡背：寒冬\n\n如果想穿过雪地，跋涉回家，套个两三层袜子能让你身子暖和些。
shop_data_winter_bundle_open1_title;寒冬捆绑包
shop_data_winter_pack_open1_desc;<sprite="PopupIcons" name="Coin">硬币：寒冬\n\n<sprite="PopupIcons" name="Powder">x400 星尘\n\n别人也叫它“酷到不行”。\n\n获取此捆绑包来支持《巫师之昆特牌》电竞；此礼包收入的 30% 将直接纳入《巫师之昆特牌》第一届公开赛的奖池中，2021 年 4 月开赛，敬请期待！
shop_data_winter_pack_open1_title;寒冬礼包（《巫师之昆特牌》第一届公开赛礼包）
shop_data_winter_rarog_desc;<sprite="PopupIcons" name="CardBack">卡背：冬日火鸟\n\n♪……枝头火鸟，吱吱在叫！♪
shop_data_winter_rarog_title;卡背：冬日火鸟
shop_data_winter_shupe_bundle_desc;<sprite="PopupIcons" name="Border">边框：冬之法师\n\n<sprite="PopupIcons" name="Title">称号：冬之法师\n\n<sprite="PopupIcons" name="Avatar">头像：店店\n\n啊，冬天！店店喜欢做雪花飘飘的魔法仙境！
shop_data_winter_shupe_bundle_title;“店店的冬天”捆绑包
shop_data_wolf_season_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：巨狼\n\n\n<sprite="PopupIcons" name="Avatar">x3 赛季头像：维瑟米尔、杰洛特：猎魔专家、萝卜\n\n\n<sprite="PopupIcons" name="Border">x4 赛季边框：狼崽、战狼、狼王、白狼\n\n\n<sprite="PopupIcons" name="Avatar">额外头像：兰伯特\n\n\n\n\n该特殊捆绑包内含“巨狼”赛季的外观道具，还有一件额外的礼品哦！
shop_data_wolf_season_bundle_title;“巨狼”赛季捆绑包
shop_data_yaruga_bridge_bundle_title;战场：桥上之战
shop_data_yaruga_bridge_desc;<sprite="PopupIcons" name="Board">战场：桥上之战\n\n回到雅鲁加河上那座著名的桥，回到莱里亚和利维亚的女王米薇抗击尼弗迦德军队的英雄时刻，在那里，那个男人授勋成为了“利维亚的杰洛特”。根据《王权的陨落》“桥上之战”的经典片段重做。该史诗战场正式登陆《巫师之昆特牌》，冲向你的敌人吧！\n\n完成委托，解锁额外称号、头像、卡背等更多装饰品！
shop_data_yenn&geralt_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：叶奈法与杰洛特\n\n<sprite="PopupIcons" name="Border">边框：飞翼\n\n<sprite="PopupIcons" name="Avatar">头像：热恋中的叶奈法\n\n<sprite="PopupIcons" name="Avatar">头像：热恋中的杰洛特\n\n<sprite="PopupIcons" name="Title">称号：命中注定\n\n注定要与彼此交织的命运争斗。
shop_data_yenn&geralt_bundle_title;叶奈法与杰洛特捆绑包
shop_data_zerrikanian_bear_desc;一位旅人从遥远的瑟瑞卡尼亚长途跋涉而至，还随身带来了庆祝夏日节庆的礼物。\n\n\n这可是全天下最可爱的礼物了，一头来自他家乡的异兽，可以变化为一只可爱的毛熊。
shop_data_zerrikanian_bear_title;瑟瑞卡尼亚毛熊
shop_data_zoltan_bundle_desc;<sprite="PopupIcons" name="Border">边框：卓尔坦的战锤\n\n<sprite="PopupIcons" name="Avatar">头像：卓尔坦和杜达\n\n<sprite="PopupIcons" name="Title">称号：“卓尔坦的小伙伴”\n\n作为著名的卓尔坦·齐瓦的伙伴，此捆绑包曾首次在玛哈坎赛季推出。
shop_data_zoltan_bundle_title;卓尔坦捆绑包
shop_discount_finished_stopwatch_title;特惠结束
shop_discount_offer_ended_description;折扣特惠已经结束啦，朋友！货品沽清，下次请早！
shop_discount_offer_ended_title;折扣特惠结束
shop_discount_stopwatch_title;特惠结束：
shop_dol_dlathanna_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：多尔·布雷坦纳弓箭手\n\n<sprite="PopupIcons" name="Border">边框：突击队\n\n<sprite="PopupIcons" name="Title">称号：“多尔·布雷坦纳的”\n\n该捆绑包曾在巨橡年 -“林中精灵”赛季推出。
shop_dol_dlathanna_bundle_title;多尔·布雷坦纳捆绑包
shop_elves_cardback_bundle_desc;<sprite="PopupIcons" name="CardBack">卡背：“林中精灵”赛季\n\nCeádmil,Wedd Brokiloéne!\n\n该卡背曾在鼠年 -“林中精灵”赛季作为可解锁装饰品首度推出。
shop_elves_cardback_bundle_title;卡背：精灵（2020）
shop_ep7_2_pack_mega_pack_desc;<sprite="PopupIcons" name="CardBack">卡背：小丑\n\n<sprite="PopupIcons" name="Avatar">“仙尼德之变”扩展包全阵营全装饰品捆绑包\n\n<sprite="PopupIcons" name="Card">“仙尼德之变”全中立阵营闪卡\n\n<sprite="PopupIcons" name="Card">“仙尼德之变”全阵营闪卡\n\n该组合优惠包为您奉上“权力的代价”系列扩展包中第二批扩展包——“仙尼德之变”的全阵营闪卡和装饰品，另附送全新卡背：仙尼德之变，彰显您的实力！真的很强……
shop_ep7_2_pack_mega_pack_title;“仙尼德之变” - 组合优惠包
shop_ep7_2_pack_monsters_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“怪兽”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：猩红夫人\n\n拥抱内心的野兽，使用全新的怪兽大军，席卷大地吧！
shop_ep7_2_pack_monsters_title;仙尼德之变 - 怪兽阵营包
shop_ep7_2_pack_nilfgaard_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“尼弗迦德”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：阿尔托·特拉诺瓦\n\n为了帝国的荣耀 - 以全新的尼弗迦德帝国之师，掌控战场。
shop_ep7_2_pack_nilfgaard_title;仙尼德之变 - 尼弗迦德阵营包
shop_ep7_2_pack_northern_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“北方领域”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：蒂莎娅·德·维瑞斯\n\n用全新的北方领域联军，碾压对手至跪地屈服吧！
shop_ep7_2_pack_northern_title;仙尼德之变 - 北方领域阵营包
shop_ep7_2_pack_scoiatael_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“松鼠党”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：希姆莱斯·芬达贝\n\n用全新的松鼠党游击队，潜伏、引诱对手一步步走向不归之路。
shop_ep7_2_pack_scoiatael_title;仙尼德之变 - 松鼠党阵营包
shop_ep7_2_pack_skellige_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“史凯利格”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：梅路辛\n\n致命海域，无畏狂野，用全新的史凯利格勇士碾碎敌人。
shop_ep7_2_pack_skellige_title;仙尼德之变 - 史凯利格阵营包
shop_ep7_2_pack_syndicate_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第二批扩展包全部“辛迪加”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：恶棍\n\n全新的辛迪加组织，通过金币与掠夺赢下战争。
shop_ep7_2_pack_syndicate_title;仙尼德之变 - 辛迪加阵营包
shop_ep7_3_pack_mega_pack_desc;<sprite="PopupIcons" name="Skin">皮肤：女巫追猎者\n\n<sprite="PopupIcons" name="Avatar">“魔法的悲歌”扩展包全阵营全装饰品捆绑包\n\n<sprite="PopupIcons" name="Card">“魔法的悲歌”中立阵营全部闪卡\n\n<sprite="PopupIcons" name="Card">“魔法的悲歌”六阵营闪卡\n\n该组合优惠包为您奉上“权力的代价”系列扩展包中第三批扩展包——“魔法的悲歌”的全阵营闪卡和装饰品，另附送“奥克塔维亚·黑尔”的全新皮肤“女巫追猎者”，彰显您的实力！必须拉风……
shop_ep7_3_pack_mega_pack_title;“魔法的悲歌” - 组合包
shop_ep7_3_pack_monsters_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“怪兽”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：王座上的女巫\n\n拥抱内心的野性，获取怪兽之力，席卷大地！
shop_ep7_3_pack_monsters_title;“魔法的悲歌” - 怪兽阵营包
shop_ep7_3_pack_nilfgaard_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“尼弗迦德”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：威戈佛特兹：变节法师\n\n为了帝国的荣耀 - 收编全新的尼弗迦德大军，随心所欲掌控战场。
shop_ep7_3_pack_nilfgaard_title;“魔法的悲歌” - 尼弗迦德阵营包
shop_ep7_3_pack_northern_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“北方领域”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：魔法大师\n\n，用强大的魔法振兴北方王国，碾压对手至跪地屈服！
shop_ep7_3_pack_northern_title;“魔法的悲歌” - 北方领域阵营包
shop_ep7_3_pack_scoiatael_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“松鼠党”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：菲拉凡德芮·艾恩·菲达尔\n\n松鼠党擅长灵活多变的战术，潜伏、引诱对手一步步走向他们的厄运。
shop_ep7_3_pack_scoiatael_title;“魔法的悲歌” - 尼弗迦德阵营包
shop_ep7_3_pack_skellige_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“史凯利格”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：海洋女术士\n\n致命海域，狂野无畏，用全新的史凯利格之力踏平对手的土地。
shop_ep7_3_pack_skellige_title;“魔法的悲歌” - 史凯利格阵营包
shop_ep7_3_pack_syndicate_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中第三批扩展包全部“辛迪加”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：暴徒\n\n依靠全新的辛迪加势力，用掠夺和金钱发动战争。
shop_ep7_3_pack_syndicate_title;“魔法的悲歌” - 辛迪加阵营包
shop_ep7_pack_mega_pack_desc;<sprite="PopupIcons" name="Board">战场：往日柴堆\n\n<sprite="PopupIcons" name="Avatar">“往日柴堆”阵营捆绑包全装饰品\n\n<sprite="PopupIcons" name="Card">“往日柴堆”全中立闪卡\n\n<sprite="PopupIcons" name="Card">“往日柴堆”全阵营卡牌\n\n该组合优惠包为您奉上“权力的代价”系列扩展包中首批扩展包——“往日柴堆”的全阵营闪卡和装饰品，另附送全新战场：往日柴堆。绝对超值，即刻开战吧！
shop_ep7_pack_monsters_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“怪兽”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：全知的她\n\n拥抱内心的野兽，使用全新的怪兽之力，席卷战场吧。
shop_ep7_pack_monsters_title;往日柴堆 - 怪兽阵营包
shop_ep7_pack_nilfgaard_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“尼弗迦德”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：里恩斯\n\n为了帝国的荣耀 - 以全新的尼弗迦德战力，掌控战场。
shop_ep7_pack_nilfgaard_title;往日柴堆 - 尼弗迦德阵营包
shop_ep7_pack_northern_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“北方领域”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：艾雷的戈尔哈特\n\n用全新的北方领域战力，碾压对手至跪地屈服吧。
shop_ep7_pack_northern_title;往日柴堆 - 北方领域阵营包
shop_ep7_pack_scoiatael_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“松鼠党”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：法兰茜丝卡\n\n用全新的松鼠党战力，潜伏、引诱对手一步步走向他们的厄运。
shop_ep7_pack_scoiatael_title;往日柴堆 - 松鼠党阵营包
shop_ep7_pack_skellige_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“史凯利格”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：富马尔\n\n死亡之海，无畏狂野，用全新的史凯利格战力把敌人化成焦土。
shop_ep7_pack_skellige_title;往日柴堆 - 史凯利格阵营包
shop_ep7_pack_syndicate_desc;<sprite="PopupIcons" name="Card">“权力的代价”系列扩展包中首批扩展包全部“辛迪加”阵营闪卡\n\n<sprite="PopupIcons" name="Avatar">头像：女巫追猎者\n\n用全新的辛迪加战力，用掠夺和金钱赢下战争。_0
shop_ep7_pack_syndicate_title;往日柴堆 - 辛迪加阵营包
shop_error_google_play_connect_desc;无法连接 Google Play 商店。请稍后再试。
shop_error_google_play_generic_desc;启动商店失败。请稍后再试。
shop_error_google_play_update_desc;请安装并升级最新版的 Google Play 服务。
shop_esports;支持《巫师之昆特牌》电子竞技
shop_faction_pack_combo_desc;<sprite="PopupIcons" name="Keg">x60 阵营牌桶（每个阵营 10 个）\n\n<sprite="PopupIcons" name="CardBack">x6 每个阵营的合金卡背\n\n<sprite="PopupIcons" name="Card">卡牌：神童贾奎斯\n<sprite="PopupIcons" name="Card">卡牌：哈罗德·奎特\n<sprite="PopupIcons" name="Card">卡牌：新王艾思娜\n<sprite="PopupIcons" name="Card">卡牌：王子维拉克萨斯\n<sprite="PopupIcons" name="Card">卡牌：篡位者 - 军官\n<sprite="PopupIcons" name="Card">卡牌：奥贝伦王\n\n<sprite="PopupIcons" name="Border">x6 阵营边框\n\n<sprite="PopupIcons" name="Title">称号：天下\n\n本礼包内含 60 个牌桶、6 张传说级历变卡牌、6 个阵营边框、6 个阵营卡背和 1 个专属称号。
shop_faction_pack_combo_title;天下捆绑包
shop_faction_pack_monsters_desc;<sprite="PopupIcons" name="Keg">x5 怪兽牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金怪兽\n\n<sprite="PopupIcons" name="Card">卡牌：奥贝伦王\n\n<sprite="PopupIcons" name="Border">边框：怪兽\n\n本礼包内含 5 个怪兽阵营牌桶、1 张怪兽阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_faction_pack_nilfgaard_desc;<sprite="PopupIcons" name="Keg">x5 尼弗迦德牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金尼弗迦德\n\n<sprite="PopupIcons" name="Card">卡牌：篡位者 - 军官\n\n<sprite="PopupIcons" name="Border">边框：尼弗迦德\n\n本礼包内含 5 个尼弗迦德阵营牌桶、1 张尼弗迦德阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_faction_pack_northern_desc;<sprite="PopupIcons" name="Keg">x5 北方领域牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金北方领域\n\n<sprite="PopupIcons" name="Card">卡牌：王子维拉克萨斯\n\n<sprite="PopupIcons" name="Border">边框：北方领域\n\n本礼包内含 5 个北方领域阵营牌桶、1 张北方领域阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_faction_pack_scoia_desc;<sprite="PopupIcons" name="Keg">x5 松鼠党牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金松鼠党\n\n<sprite="PopupIcons" name="Card">卡牌：新王艾思娜\n\n<sprite="PopupIcons" name="Border">边框：松鼠党\n\n本礼包内含 5 个松鼠党阵营牌桶、1 张松鼠党阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_faction_pack_skellige_desc;<sprite="PopupIcons" name="Keg">x5 史凯利格牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金史凯利格\n\n<sprite="PopupIcons" name="Card">卡牌：哈罗德·奎特\n\n<sprite="PopupIcons" name="Border">边框：史凯利格\n\n本礼包内含 5 个史凯利格阵营牌桶、1 张史凯利格阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_faction_pack_syndicate_desc;<sprite="PopupIcons" name="Keg">x5 辛迪加牌桶\n\n<sprite="PopupIcons" name="CardBack">卡背：合金辛迪加\n\n<sprite="PopupIcons" name="Card">卡牌：神童贾奎斯\n\n<sprite="PopupIcons" name="Border">边框：辛迪加\n\n本礼包内含 5 个辛迪加阵营牌桶、1 张辛迪加阵营金卡、独特的阵营边框和卡背，新手的理想之选！
shop_fortunate_bundle_desc;<sprite="PopupIcons" name="Coin">幸运币\n\n<sprite="PopupIcons" name="Title">称号：“大吉大利”\n\n希望它带给你好运。
shop_free_product;免费
shop_generation_gap_pack_desc;人民需要悲伤，就像船只需要压舱！战个痛快吧！\n\n获取 2 张全新史凯利格阵营传说级卡牌：布兰王和凯瑞丝：无所畏惧，外加 6 张配合史凯利格阵营的其他闪卡。\n\n本礼包内含：\n<sprite="PopupIcons" name="Card">1x 布兰王闪卡\n<sprite="PopupIcons" name="Card">1x 凯瑞丝：无所畏惧闪卡\n<sprite="PopupIcons" name="Card">1x 史裘达尔·德拉蒙闪卡（史诗）\n<sprite="PopupIcons" name="Card">1x 哈罗德·霍兹诺特闪卡（史诗）\n<sprite="PopupIcons" name="Card">2x 奎特家族突袭者闪卡（稀有）\n<sprite="PopupIcons" name="Card">2x 斯瓦勃洛牧师闪卡（稀有）
shop_generation_gap_pack_title;青出于蓝礼包
shop_geralt_sword_desc;<sprite="PopupIcons" name="Trinket">杰洛特的剑\n\n旅程虽长，但一路有你，共庆胜利。谨以此物庆祝我们的胜利以及这个欢快的赛季！人人都有，免费获取！
shop_geralt_sword_title;杰洛特的剑
shop_great_oak_year_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：邪恶的面孔\n\n<sprite="PopupIcons" name="Border">边框：橡树枝条\n\n<sprite="PopupIcons" name="Title">称号：“巨橡”\n\n<sprite="PopupIcons" name="CardBack">卡背：巨橡\n\n获取此捆绑包来支持《巫师之昆特牌》电竞；此礼包收入的 30% 将直接纳入第三届《巫师之昆特牌》世界大师赛的奖池中，2021 年 12 月开赛，敬请期待！
shop_great_oak_year_bundle_title;巨橡捆绑包
shop_ida_emean_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：艾达·艾敏\n\n<sprite="PopupIcons" name="Border">边框：精灵传送门\n\n<sprite="PopupIcons" name="Title">称号：“全知者”\n\n该捆绑包内含曾在鼠年 -“林中精灵”赛季首度推出的可解锁装饰品。
shop_ida_emean_bundle_title;艾达·艾敏捆绑包
shop_iris&olgierd_desc;<sprite="PopupIcons" name="CardBack">卡背：悲剧的爱\n\n<sprite="PopupIcons" name="Avatar">头像：爱丽丝‧伊佛瑞克\n\n<sprite="PopupIcons" name="Avatar">头像：欧吉尔德\n\n<sprite="PopupIcons" name="Border">边框：画架\n\n<sprite="PopupIcons" name="Title">称号：“心碎者”\n\n爱是忍耐，爱是宽仁，但有时也是悲剧，令人心碎。\n该捆绑包内含曾在巨橡年“情人节活动”首度推出的可解锁物品。
shop_iris&olgierd_event_desc;<sprite="PopupIcons" name="CardBack">卡背：悲剧的爱\n\n<sprite="PopupIcons" name="Border">边框：画架\n\n<sprite="PopupIcons" name="Avatar">头像：爱丽丝·伊佛瑞克\n\n<sprite="PopupIcons" name="Avatar">头像：欧吉尔德\n\n<sprite="PopupIcons" name="Title">称号：心碎者\n\n最伟大的灵感，往往源于最悲惨的故事。
shop_iris&olgierd_title;爱丽丝与欧吉尔德捆绑包
shop_ivo_bundle_desc;<sprite="PopupIcons" name="Avatar">头像：贝哈文的伊沃\n\n<sprite="PopupIcons" name="Border">边框：巨熊守卫\n\n<sprite="PopupIcons" name="Title">称号：“贝哈文的”\n\n快来表达你对熊学派的喜爱吧！该捆绑包内含曾在“鼠人”年 - “咆哮之熊”赛季首度推出的可解锁装饰品。
shop_ivo_bundle_title;伊沃捆绑包
shop_keg_category_all;全部卡牌
shop_keg_category_factions;阵营牌桶
shop_keg_category_misc;杂项
shop_keg_category_sets;牌桶来源
shop_leaders_combo_desc;收集 12 张全新传说级卡牌，每个阵营 2 张！\n\n内含：\n<sprite="PopupIcons" name="Card">卡牌：砍刀\n<sprite="PopupIcons" name="Card">卡牌：霍桑二世\n<sprite="PopupIcons" name="Card">卡牌：弗尔泰斯特国王\n<sprite="PopupIcons" name="Card">卡牌：女王米薇 \n<sprite="PopupIcons" name="Card">卡牌：克拉茨·奎特\n<sprite="PopupIcons" name="Card">卡牌：埃斯特·图尔赛克\n<sprite="PopupIcons" name="Card">卡牌：布罗瓦尔·霍格\n<sprite="PopupIcons" name="Card">卡牌：艾尔丹恩\n<sprite="PopupIcons" name="Card">卡牌：暗影长者\n<sprite="PopupIcons" name="Card">卡牌：狄拉夫·艾瑞廷\n<sprite="PopupIcons" name="Card">卡牌：恩希尔‧恩瑞斯\n<sprite="PopupIcons" name="Card">卡牌：安娜·亨利叶塔
shop_leaders_combo_title;王者归来礼包
