_inputshopbuymultiple;КУПИТЬ
shop_data_7_ep5_premium_kegs_title_gaea;25 обрывков, 7 премиальных бочек «Господина Зеркало»
shop_data_7_kegs_gaea_title;18 обрывков, 7 улучшенных бочек
shop_data_7_kegs_title;7 улучшенных бочек
shop_data_7_neutral_kegs_title;7 нейтральных бочек
shop_data_7_neutral_kegs_title_gaea;18 обрывков, 7 нейтральных бочек
shop_data_7_premium_cc_kegs_title;7 премиальных бочек «Алого проклятия»
shop_data_7_premium_cc_kegs_title_gaea;Ignore.
shop_data_7200_powder_title;7200 единиц метеоритной пыли
shop_data_800_powder_title;800 единиц метеоритной пыли
shop_data_abandoned_gameboard_desc;<sprite="PopupIcons" name="Board"> Поле заброшенной лаборатории\n\n Вас мучают кошмары? Или вы сами чей-то кошмар? Вам придется по душе запустение этого места, которое еще помнит неудачные эксперименты и горечь отчаяния. Настало время сразиться в заброшенной лаборатории!
shop_data_abandoned_gameboard_title;Заброшенная лаборатория
shop_data_air_bundle_desc;<sprite="PopupIcons" name="Skin"> Облик «Повелительница ветра» (скоя'таэли)\n\n<sprite="PopupIcons" name="Board"> Поле одуванчиков\n\nПройдите по следам великой Францески Финдабаир через ее владения — зеленые луга Дол Блатанны.
shop_data_air_bundle_title;Комплект воздуха
shop_data_air_pack_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Джинн»\n\n<sprite="PopupIcons" name="Border"> Анимированная рамка «Воздух»\n\n<sprite="PopupIcons" name="Title"> Титул «Джинн»\n\n<sprite="PopupIcons" name="Powder"> 400 единиц метеоритной пыли\n\nКрылья тысячи птиц молотят небосвод, спасаясь от жуткого шквала…
shop_data_air_pack_title;Набор воздуха
shop_data_allgods_cellar_board_desc;<sprite="PopupIcons" name="Board"> Поле погребка Всебога\n\nПоистине божественное место! Хотя мармелада в кладовке маловато…
shop_data_allgods_cellar_board_title;Поле погребка Всебога
shop_data_allgods_pack_desc;<sprite="PopupIcons" name="PremiumCard"> Карта «Всебог»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Всебог»\n\n<sprite="PopupIcons" name="Title"> Титул «Благословенный»\n\nНапоминайте черни, что её удел — служить и благодарить.
shop_data_allgods_pack_title;Набор Всебога
shop_data_ambush_bundle_desc;<sprite="PopupIcons" name="Border"> Рамка «Засада»\n\n<sprite="PopupIcons" name="Title"> Титул «В засаде»\n\nПомогите защитить Брокилон — атакуйте его врагов из засады!
shop_data_ambush_bundle_title;Комплект засады
shop_data_anna_henrietta_skin_desc;<sprite="PopupIcons" name="Skin"> Облик «Офирская принцесса»\n\nВстречайте новый облик для Анны-Генриетты! Плетите заговоры, собирайте тайные сведения и используйте их против врагов — и всё это в образе офирской принцессы!
shop_data_anna_henrietta_skin_title;Облик «Офирская принцесса»
shop_data_army_commander_skin_desc;<sprite="PopupIcons" name="Skin"> Облик «Главнокомандующий»\n\nВ эту сияющую броню облачался король Фольтест в первом «Ведьмаке». Приветствуйте могущественного короля Севера!
shop_data_army_commander_skin_title;Облик главнокомандующего
shop_data_autumn_board_desc;<sprite="PopupIcons" name="Board"> Поле осени\n\nПусть эта осень принесет вам урожай побед и поведет вас к великой славе!
shop_data_autumn_board_title;Поле осени
shop_data_autumn_bundle_open_title;Осенний комплект
shop_data_autumn_pack_bundle_desc;<sprite="PopupIcons" name="Board"> Поле осени\n\n<sprite="PopupIcons" name="CardBack"> Рубашка «Осень»\n\nСухие листья хрустят под вашими ногами, когда вы собираете последние яблоки в этом году.
shop_data_autumn_pack_open_desc;<sprite="PopupIcons" name="Coin"> Монета «Осень»\n\n<sprite="PopupIcons" name="Powder"> 400 единиц метеоритной пыли\n\nПоддержите киберспорт в ГВИНТЕ! 30% средств, полученных за покупку этого набора, попадет в призовой фонд турнира GWENT Open 4, который пройдет в октябре 2021 года!
shop_data_autumn_pack_open_title;Набор осени (GWENT Open 4)
shop_data_autumn_shupe_bundle_desc;<sprite="PopupIcons" name="Border"> Рамка «Осенний охотник»\n\n<sprite="PopupIcons" name="Title"> Титул «Осенний охотник»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Лавк»\n\nАх, осень! Лавк собирать грибы. Охотиться на кабана! М-м-м… кабан…
shop_data_autumn_shupe_bundle_title;Осенний комплект Лавка
shop_data_base_set_key_desc;Пополните свою коллекцию картами из улучшенных бочек! Эти уникальные бочки содержат карты из базового набора и всех дополнений ГВИНТА.\n\nОткрыв такую бочку, вы найдете 5 случайных карт — четыре как минимум обычных, а пятую, редкую или более ценную, сможете выбрать из трех карт.
shop_data_birthday_auras_desc;<sprite="PopupIcons" name="Trinket"> Аура «Праздничные лилии» (Йеннифэр)\n\n<sprite="PopupIcons" name="Trinket"> Аура «Праздничные лилии» (Цири)\n\nПросьба осыпать нас лепестками лилий в этот особенный день не будет чрезмерной? Ну, разве что чуть-чуть.
shop_data_birthday_auras_title;Комплект аур «Праздничные лилии»
shop_data_birthday_celebratory_cardback_desc;<sprite="PopupIcons" name="CardBack"> Праздничная рубашка\n\n♪ …с днем рожденья, Йен и Цири, с днем рождения вас! ♪
shop_data_birthday_celebratory_cardback_title;Праздничная рубашка
shop_data_birthday_girls_bundle_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Ласточка»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Ворон»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Медальон школы Кота»\n\n<sprite="PopupIcons" name="Title"> Титул «Именинница»\n\nПамять о тех, кто нам дорог, — это поистине драгоценный дар.
shop_data_birthday_girls_bundle_title;Комплект «Именинницы»
shop_data_black_sun_pack_desc;<sprite="PopupIcons" name="Card"> Все премиальные карты из дополнения «Проклятие Черного солнца»\n\n<sprite="PopupIcons" name="Board"> Поле песков времени\n\nПокоритесь космическим силам, формирующим реальность, или вступайте в шайку Ренфри, чтобы кровью написать свою.
shop_data_black_sun_pack_title;Набор Черного солнца
shop_data_blizzard_rarog_bundle_desc;<sprite="PopupIcons" name="CardBack"> Рубашка «Метельный рарог»\n\n<sprite="PopupIcons" name="Coin"> Монета «Замёрзший рарог»\n\nМудрый рарог говорит: не горячись!
shop_data_blizzard_rarog_bundle_title;Комплект «Метельный рарог»
shop_data_blizzard_rarog_desc;<sprite="PopupIcons" name="Cardback"> Рубашка «Метельный рарог»\n\nМудрый рарог говорит: не горячись!
shop_data_blizzard_rarog_title;Рубашка «Метельный рарог»
shop_data_blood_moon_pack_desc;Встанете ли вы на сторону чудовищ или решите дать им отпор, набор кровавой луны поможет подготовиться к грядущей битве. Набор содержит: \n\n <sprite="PopupIcons" name="CCKeg">  100 бочек «Алого проклятия»\n\n <sprite="PopupIcons" name="Powder">  1000 единиц метеоритной пыли\n\n <sprite="PopupIcons" name="Ticket">  10 осколков зеркала \n\n Предложение действительно до 30 апреля 2019 года. Набор может быть приобретен неограниченное количество раз.
shop_data_blood_moon_pack_title;Набор кровавой луны
shop_data_bloody_gernichora_skin_desc;<sprite="PopupIcons" name="Skin"> Облик «Кровавая Госпожа» (чудовища)\n\nТы что, боишься безобидной старушки с ангренских болот? Ну что она тебе сделает?
shop_data_bloody_gernichora_skin_title;Облик «Кровавая Госпожа» для Гернихоры
shop_data_borsodi_vault_board_desc;<sprite="PopupIcons" name="Board"> Поле аукционного дома братьев Борсоди\n\nЗа годы ничуть не утратило своей ценности и стоит всей пролитой крови и всех предательств.
shop_data_borsodi_vault_board_title;Поле сейфа Борсоди
shop_data_bran_skin_desc;<sprite="PopupIcons" name="Skin"> Облик «Молодой Бран»\n\nЖелезная корона принадлежит ему по праву. Бран молод, но уже готов властвовать!\n\nЭтот облик доступен только для фракции «Скеллиге».
shop_data_bran_skin_title;Облик «Молодой Бран»
shop_data_buy_now_promo_desc;Купите сейчас!
shop_data_cardback_shani_desc;<sprite="PopupIcons" name="CardBack"> Рубашка в стиле Шани\n\nЭта особая рубашка символизирует Шани — одну из лучших студенток Оксенфуртской академии, выдающегося доктора и бесстрашного полевого медика реданской армии.\n\nПримечание: эта рубашка также входит в комплект «Само очарование».
shop_data_cardback_shani_title;Рубашка в стиле Шани
shop_data_cardback_triss_desc;<sprite="PopupIcons" name="CardBack"> Рубашка в стиле Трисс\n\nЭта особая рубашка символизирует Трисс Меригольд — поистине талантливую чародейку, героиню битвы за Содден и доверенную советницу короля Фольтеста.\n\nПримечание: эта рубашка также входит в комплект «Само очарование».
shop_data_cardback_triss_title;Рубашка в стиле Трисс
shop_data_cardback_yennefer_desc;<sprite="PopupIcons" name="CardBack"> Рубашка в стиле Йеннифэр\n\nЭта особая рубашка символизирует потрясающе могущественную чародейку — черноволосую Йеннифэр из Венгерберга.\n\nПримечание: эта рубашка также входит в комплект «Само очарование».
shop_data_cardback_yennefer_title;Рубашка в стиле Йеннифэр
shop_data_cat_bundle_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Кийян»\n\n<sprite="PopupIcons" name="Border"> Рамка «Великий кошачий магистр»\n\n<sprite="PopupIcons" name="Title"> Титул «Боевой кот»\n\nВ этом комплекте вы найдете украшения, которые можно было открыть во время сезона Кота в год Вепря, и еще один приятный сюрприз!
shop_data_cat_bundle_title;Комплект Школы Кота
shop_data_cat_cardback_desc;Нравится ведьмачья Школа Кота? Так заявите об этом на весь мир!\n\nЭту рубашку можно было получить во время сезона Кота в год Вепря.
shop_data_cat_cardback_title;Рубашка сезона Кота
shop_data_category_avatars_title;Аватары
shop_data_category_boards_title;Игровые поля
shop_data_category_borders_title;Рамки
shop_data_category_bundles_title;Комплекты
shop_data_category_campaigns_title;Для одного игрока
shop_data_category_card_backs_title;Рубашки карт
shop_data_category_events_title;СОБЫТИЕ
shop_data_category_kegs_title;Бочки с картами
shop_data_category_leader_skins_title;Облики лидера
shop_data_category_packs_title;Наборы
shop_data_category_powder_title;Метеоритная пыль
shop_data_category_titles_title;Титулы профиля
shop_data_category_trinkets_title;Комплекты
shop_data_cc_keg_desc;Открыв такую бочку, вы найдете 5 карт из дополнения «Алое проклятие» — четыре как минимум обычные, а пятую, редкую или более ценную, сможете выбрать из трех карт.
shop_data_cc_keg_title;Бочка «Алого проклятия»
shop_data_celebration_2022_pack_desc;<sprite="PopupIcons" name="PremiumKeg"> 25 улучшенных премиальных бочек\n\n<sprite="PopupIcons" name="Powder"> 1500 ед. метеоритной пыли\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Праздничный идол»\n\n<sprite="PopupIcons" name="Title"> Титул «Щедрый дух» \n\nЙольский сезон — повод порадовать себя премиальными картами и вспомнить, чему посвящено празднество Йоль!
shop_data_celebration_2022_pack_title;Праздничный йольский набор 2022
shop_data_celebration_pack_desc;<sprite="PopupIcons" name="PremiumKeg"> 25 улучшенных премиальных бочек\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Йольская гарпия»\n\n<sprite="PopupIcons" name="Title"> Титул «Йольское настроение» \n\n<sprite="PopupIcons" name="Powder"> 1500 ед. метеоритной пыли\n\nЙольский сезон — отличный повод порадовать себя премиальной легендарной картой и вспомнить, чему посвящено празднество Йоль!
shop_data_celebration_pack_title;Праздничный йольский набор
shop_data_charming_bundle_desc;<sprite="PopupIcons" name="CardBack">рубашка в стиле Шани\n\n<sprite="PopupIcons" name="CardBack">рубашка в стиле Трисс\n\n<sprite="PopupIcons" name="CardBack">рубашка в стиле Йеннифэр\n\nНе можете определиться, которая из новых рубашек в стиле героинь вселенной «Ведьмака» вам больше по душе? В комплект «Само очарование» входят все три рубашки по цене двух!
shop_data_charming_bundle_title;Комплект «Само очарование»
shop_data_chinese_pack_pig_desc;Специальное предложение в честь лунного Нового года. Содержит:\n\n <sprite="PopupIcons" name="Card"> 1 премиальную легендарную карту\n\n <sprite="PopupIcons" name="Powder"> 400 единиц метеоритной пыли\n\n <sprite="PopupIcons" name="Keg"> 25 бочек базового набора\n\n <sprite="PopupIcons" name="Ticket"> 3 осколка зеркала
shop_data_chinese_pack_pig_title;Набор лунного Нового года
shop_data_chronicles_pack_desc;<sprite="PopupIcons" name="Card"> Все премиальные карты из дополнения «Хроники».\n\n<sprite="PopupIcons" name="Skin"> Облик «Главнокомандующий»\n\nЭпос о великих воинах Богольте, Сове, Улуле и многих других, прокладывающих свой путь к вечной славе.
shop_data_chronicles_pack_title;Набор «Хроники»
shop_data_ciri_flower_desc;Проводите последние солнечные деньки с новой прической Цири!\n\nПусть эти цветы напоминают вам о минувшем лете!
shop_data_ciri_flower_title;Цветок в волосах в подарок!
shop_data_claw_and_dagger_pack_desc;<sprite="PopupIcons" name="Board"> Поле аукционного дома братьев Борсоди\n\n<sprite="PopupIcons" name="PremiumCard"> Все премиальные карты дополнения «Коготь и кинжал»\n\nБерите то, что ваше по праву, — терпением и упорством, когтем и кинжалом.
shop_data_claw_and_dagger_pack_title;Набор «Коготь и кинжал»
shop_data_cleaver_ghost_skin_desc;<sprite="PopupIcons" name="Skin"> Облик Тесака «Привидение» (Синдикат) \n\nЧтобы дать бой чудовищам (и другим фракциям ГВИНТА), нужно стать чудовищем самому! Призрачный Тесак восстал из мертвых и готов сражаться во имя Синдиката!
shop_data_cleaver_ghost_skin_title;Облик Тесака «Привидение»
shop_data_comfy_warmth_bundle_desc;<sprite="PopupIcons" name="Border"> Рамка «С новой мутацией!»\n\n<sprite="PopupIcons" name="Border"> Рамка «С новым предательством!»\n\n<sprite="PopupIcons" name="Border"> Рамка «С новым преступлением!»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Ледяной Эредин»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Дедушка Ардаль»\n\n<sprite="PopupIcons" name="Avatar"> Аватар «Замерзшая Гудрун»\n\n<sprite="PopupIcons" name="Title"> Титул «Спящее зло»\n\n<sprite="PopupIcons" name="Title"> Титул «Хладнокровный»\n\n<sprite="PopupIcons" name="Title"> Титул «Замерзающий нищий»\n\nКакой же Йоль без праздничных украшений из омелы?
shop_data_comfy_warmth_bundle_title;Комплект «Уютное тепло»
shop_data_commanders_bundle_desc;<sprite="PopupIcons" name="Skin"> Облик Эитнэ «Среброглазая»\n\n<sprite="PopupIcons" name="Skin"> Облик Харальда Хромого «Налетчик»\n\n<sprite="PopupIcons" name="Skin">Облик Узурпатора «Император»\n\nПредложение ограничено! Не упустите возможность заполучить трех знаменитых предводителей по цене двух. С ними вы одолеете любого, кто осмелится встать у вас на пути!
shop_data_commanders_bundle_title;Комплект предводителей
shop_data_copper_nekker_desc;<sprite="PopupIcons" name="Skin"> Медный накер\n\nПожертвуйте свои обрывки. Хотя нет… ладно, вы поняли.
shop_data_copper_nekker_title;Медный накер
shop_data_crimson_curse_pre_pack_desc;Грядет кровавая луна! Подготовьтесь к битве, открыв этот набор сразу после выхода дополнения «Алое проклятие» 28 марта 2019 года. Содержит:\n\n    <sprite="PopupIcons" name="CCKeg"> 40 бочек «Алого проклятия»\n\n    <sprite="PopupIcons" name="Skin"> облик Скрытого «Кровавая броня»\n\n    <sprite="PopupIcons" name="CardBack"> анимированную рубашку «Алого проклятия».
shop_data_crimson_curse_pre_pack_title;Набор предзаказа для «Алого проклятия»
shop_data_cursed_toad_megapack_desc;<sprite="PopupIcons" name="Board"> Поле заброшенной лаборатории\n\n<sprite="PopupIcons" name="Board"> Поле песков времени\n\n<sprite="PopupIcons" name="Skin"> Облик «Главнокомандующий»\n\n<sprite="PopupIcons" name="Skin"> Облик «Медведь Свальблода»\n\n<sprite="PopupIcons" name="PremiumCard"> Все премиальные карты из дополнения «Забытые сокровища»\n\n<sprite="PopupIcons" name="PremiumCard"> Все премиальные карты из дополнения «Проклятие Чёрного солнца»\n\n<sprite="PopupIcons" name="PremiumCard"> Все премиальные карты из дополнения «Хроники»\n\n<sprite="PopupIcons" name="PremiumCard"> Все премиальные карты из дополнения «Святые и грешники»\n\nИногда то, что кажется проклятием, на самом деле является самым обычным ядом…\n\nЭтот набор содержит премиальные версии всех карт и все украшения из дополнений года Проклятой жабы.
shop_data_cursed_toad_megapack_title;Супернабор «Проклятая жаба»
shop_data_dandelion_meadow_board_desc;<sprite="PopupIcons" name="Board"> Поле одуванчиков\n\nСюда! Тут можно насладиться тишиной и поко... ой... что это? Это чьи следы на земле? Это что... грифон?!\n\nТакое поле можно было получить в сентябре 2020 в составе комплекта воздуха для турнира GWENT Open 4.
shop_data_dandelion_meadow_board_title;Поле одуванчиков
shop_data_day_bundle_desc;<sprite="PopupIcons" name="Coin"> Монета «День»\n\n<sprite="PopupIcons" name="Board"> Поле дневного света\n\nИногда это лучший способ не привлечь внимания — действовать прямо средь бела дня!
shop_data_day_bundle_title;Комплект «Средь бела дня»
shop_data_discount_promo_desc;Скидка!
shop_data_dol_blathanna_bundle_desc;<sprite="PopupIcons" name="Border"> Рамка «Диверсант»\n\n<sprite="PopupIcons" name="Title">Титул «Из Дол Блатанны»\n\nКинжалы? Заточены. Беличий хвост? Пришит. Энид? Ан Глеанна!
shop_data_dol_blathanna_bundle_title;Комплект «Дол Блатанна»
shop_data_draconid_bundle_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Саския»\n\n<sprite="PopupIcons" name="Border"> Рамка «Великий ящер»\n\n<sprite="PopupIcons" name="Title"> Титул «Убийца драконов»\n\nВ этом комплекте вы найдете украшения, которые можно было открыть во время сезона Драконида в год Вепря, и еще один приятный сюрприз!
shop_data_draconid_bundle_title;Комплект сезона Драконида
shop_data_draconid_cardback_desc;Нравятся драконы и дракониды? Так заявите об этом на весь мир!\n\nЭту рубашку можно было получить во время сезона Драконида в год Вепря.
shop_data_draconid_cardback_title;Рубашка сезона Драконида
shop_data_draft_ticket_desc;С этим билетом можно играть в режиме подбора. Соберите колоду и состязайтесь с соперниками за призы. Помните, что этот режим непредсказуем!
shop_data_draft_ticket_title;Билет для режима подбора
shop_data_dryad_bundle_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Моренн»\n\n<sprite="PopupIcons" name="Border"> Рамка «Защитник»\n\n<sprite="PopupIcons" name="Title"> Титул «из Брокилона»\n\nВ этом комплекте вы найдете украшения, которые можно было открыть во время сезона Дриады в год Вепря, и еще один приятный сюрприз!
shop_data_dryad_bundle_title;Комплект дриады
shop_data_dryad_cardback_2020_desc;<sprite="PopupIcons" name="CardBack"> Рубашка сезона Дриады\n\nЭту рубашку можно было получить во время сезона Дриады в год Крысолака.
shop_data_dryad_cardback_2020_title;Рубашка сезона Дриады (2020 г.)
shop_data_dryad_cardback_desc;Нравятся дриады? Заявите об этом на весь мир!\n\nЭту рубашку можно было получить во время сезона Дриады в год Вепря.
shop_data_dryad_cardback_title;Рубашка сезона Дриады
shop_data_earth_bundle_desc;<sprite="PopupIcons" name="Skin"> Облик «Зелененький кузнечик» (чудовища)\n\n<sprite="PopupIcons" name="Board"> Заброшенное поле\n\nПробирайтесь сквозь густые заросли в давно покинутом краю.
shop_data_earth_bundle_title;Комплект земли
shop_data_earth_pack_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Элементаль земли»\n\n<sprite="PopupIcons" name="Border"> Анимированная рамка «Земля»\n\n<sprite="PopupIcons" name="Title"> Титул «Д'ао»\n\n<sprite="PopupIcons" name="Powder"> 400 единиц метеоритной пыли\n\nЗемля восстает, поднимая руки-корни, хмуря замшелые брови на каменном лице…
shop_data_earth_pack_title;Набор земли
shop_data_eclipse_bundle_desc;<sprite="PopupIcons" name="Board"> Поле затмения\n\n<sprite="PopupIcons" name="Coin"> Монета «Затмение»\n\nБерегитесь рожденных в час затмения, ибо души их окутаны тьмой.
shop_data_eclipse_bundle_title;Комплект «Затмение»
shop_data_eithne_silver_eyed_skin_desc;<sprite="PopupIcons" name="Skin"> Облик «Среброглазая» (скоя'таэли)\n\nВедите дриад в бой против людей и их прогресса!
shop_data_eithne_silver_eyed_skin_title;Облик «Среброглазая» для Эитнэ
shop_data_ep_coming_soon;Выходит новое дополнение
shop_data_ep_preorder_now;НАБОРЫ ПРЕДЗАКАЗА УЖЕ В ПРОДАЖЕ
shop_data_ep1_cardback_pack_desc;Призванных Детлаффом вампиров все-таки удалось одолеть, но сила Алого проклятия от этого не угасла. С этой уникальной премиальной рубашкой магия ритуала будет служить вам и дальше! Это альтернативная версия рубашки «Алого проклятия», которую можно было получить при покупке набора предзаказа для «Алого проклятия».
shop_data_ep1_cardback_pack_desc_sale;Призванных Детлаффом вампиров все-таки удалось одолеть, но сила Алого проклятия от этого не угасла. С этой уникальной премиальной рубашкой магия ритуала будет служить вам и дальше!\n\nЭто альтернативная версия рубашки «Алого проклятия», которую можно было получить при покупке набора предзаказа для «Алого проклятия». До конца Саовины ее можно приобрести со скидкой 30%!
shop_data_ep1_cardback_pack_title;Альтернативная рубашка «Алого проклятия»
shop_data_ep1_skin_pack_desc;<sprite="PopupIcons" name="Skin"> Облик «Броня черной крови»\n\nСкрытому идет черный, не правда ли? Новый элегантный доспех, особые визуальные эффекты и анимация — с ними вы по-настоящему ощутите могущество повелителя высших вампиров!
shop_data_ep1_skin_pack_desc_sale;Скрытому идет черный, не правда ли? Новый элегантный доспех, особые визуальные эффекты и анимация — с ними вы по-настоящему ощутите могущество повелителя высших вампиров!\n\nЭтот облик доступен только для фракции «Чудовища». До конца Саовины его можно приобрести со скидкой 30%!
shop_data_ep1_skin_pack_title;Облик «Броня черной крови»
shop_data_ep2_alt_board_desc;<sprite="PopupIcons" name="Board"> Поле ночного Новиграда\n\nНочью улицами Новиграда правят банды. Бросьте вызов друзьям и недругам на новом игровом поле ночного Новиграда!
shop_data_ep2_alt_board_title;Поле ночного Новиграда
shop_data_ep2_alt_cardback_desc;<sprite="PopupIcons" name="CardBack"> Анимированная рубашка «Неугасающий Огонь»\n\nПока наши сердца полны скверны, дух Новиграда продолжает жить.
shop_data_ep2_alt_cardback_desc_sale;<sprite="PopupIcons" name="CardBack"> Рубашка «Неугасающий Огонь»\n\nВ Новиграде по-прежнему пылает священный огонь. Перед вами альтернативная версия премиальной рубашки «Новиграда», которую можно было получить, купив набор предзаказа для этого дополнения.\nДо конца распродажи по случаю лунного Нового года эта рубашка доступна со скидкой 30%.
shop_data_ep2_alt_cardback_title;Рубашка «Неугасающий Огонь»
shop_data_ep2_pack_desc;<sprite="PopupIcons" name="Keg"> 15 обычных бочек «Новиграда»\n\n<sprite="PopupIcons" name="CardBack"> Анимированная рубашка «Вечный Огонь»\n\nСвет вечного огня сияет среди золотых венцов Новиграда.
shop_data_ep2_pack_title;Набор «Новиград»
shop_data_ep2_premium_pack_desc;<sprite="PopupIcons" name="PremiumKeg"> 20 премиальных бочек «Новиграда»\n\n<sprite="PopupIcons" name="CardBack"> Анимированная рубашка «Призрачный Огонь»\n\nИстинные цвета Синдиката раскрываются ночью, когда не остается ничего святого, кроме золота.
shop_data_ep2_premium_pack_title;Премиальный набор «Новиград»
shop_data_ep3_alt_leader_skin_bundle_desc;<sprite="PopupIcons" name="Skin"> Премиальный облик «Радовид в Зеррикании»\n\nНе пропустите этот альтернативный облик короля Радовида V!
shop_data_ep3_alt_leader_skin_bundle_title;Радовид в Зеррикании
shop_data_ep4_caravan_pack_desc;<sprite="PopupIcons" name="Card"> Премиальная карта «Волшебная лампа»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Хрустальный череп»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Зачарованный доспех»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Проклятый свиток»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Яд василиска»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Церемониальный клинок»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Рабский ошейник»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Техническая разработка»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Маска Уробороса»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Урна теней»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Сабля Aen Seidhe»\n<sprite="PopupIcons" name="Card"> Премиальная карта «Глаз тигра»\n\nСудьба благоволит храбрым! Не упустите возможность заполучить самые ценные сокровища из Офира — 12 премиальных карт стратегических приемов! Каждый стратегический прием дает уникальное преимущество игроку, который ходит первым.
shop_data_ep4_caravan_pack_title;Набор «Набег на караван»
shop_data_ep4_premium_keg_desc;Премиальные бочки «Купцов из Офира» доступны в течение ограниченного времени. С их помощью вы сможете пополнить свою коллекцию новыми анимированными картами из дополнения «Купцы из Офира».\n\nОткрыв такую бочку, вы получите 5 премиальных карт из дополнения «Купцы из Офира» — четыре как минимум обычные, а пятую, редкую или более ценную, сможете выбрать из трех карт.
shop_data_ep4_premium_keg_title;Премиальная бочка «Купцов из Офира»
shop_data_ep5_combo_preorder_desc;<sprite="PopupIcons" name="PremiumKeg"> 25 премиальных бочек «Господина Зеркало»\n\n<sprite="PopupIcons" name="Keg"> 10 бочек «Господина Зеркало»\n\n<sprite="PopupIcons" name="Skin"> Облик лидера «Гюнтер о'Дим» (доступен сразу после покупки!)\n\n<sprite="PopupIcons" name="CardBack"> Динамическая рубашка «Господин Зеркало» (доступна сразу после покупки!)\n\n<sprite="PopupIcons" name="Title"> Дополнительный титул «Бессмертный» (доступен сразу после покупки!)\n\nСамое роскошное предложение от Господина Зеркало — два набора предзаказа в одном и дополнительный титул! Обратите внимание, что продавать душу для покупки не обязательно.\n\nПримечание: открыть бочки можно будет уже 30 июня 2020 года, сразу после выхода дополнения «Господин Зеркало».
shop_data_ep5_combo_preorder_title;Двойной набор предзаказа для «Господина Зеркало»
shop_data_ep5_intrigue_pack_desc;<sprite="PopupIcons" name="PremiumCard"> Оберон: король\n\n<sprite="PopupIcons" name="PremiumCard"> Яков: дивное дитя\n\n<sprite="PopupIcons" name="PremiumCard"> Харальд ан Крайт\n\n<sprite="PopupIcons" name="PremiumCard"> Узурпатор: офицер\n\n<sprite="PopupIcons" name="PremiumCard"> Эитнэ: молодая королева\n\n<sprite="PopupIcons" name="PremiumCard"> Вираксас: принц\n\nЗа каждым стремительным восхождением к власти стоит компромисс, сделка и шепчущий голос.
shop_data_ep5_intrigue_pack_title;Набор интриги
shop_data_ep5_keg_desc;Бочки «Господина Зеркало» — отличный способ пополнить вашу коллекцию картами из дополнения «Господин Зеркало»!\n\nОткрыв такую бочку, вы найдете 5 карт из дополнения «Господин Зеркало» — четыре как минимум обычные, а пятую, редкую или более ценную, сможете выбрать из трех карт.
shop_data_ep5_keg_title;Бочка «Господина Зеркало»
shop_data_ep5_master_mirror_bundle_desc;<sprite="PopupIcons" name="Avatar"> Аватар «Воплощение зла»\n\n<sprite="PopupIcons" name="Border"> Рамка «Торговец зеркалами»\n\n<sprite="PopupIcons" name="Title"> Титул «Исполнитель желаний»\n\nОкружите себя завесой тайны и с улыбкой ведите врагов навстречу погибели. Они даже опомниться не успеют!
shop_data_ep5_master_mirror_bundle_title;Комплект «Господин Зеркало»
shop_data_ep5_ntrigue_pack_desc;Все самые ценные карты из дополнения «Господин Зеркало» в одном наборе! Способности динамических карт меняются и становятся сильнее с каждым раундом!\n\nВ наборе 6 премиальных карт (по одной для каждой фракции):\n\n<sprite="PopupIcons" name="Card"> Чудовища — «Оберон: король»\n\n<sprite="PopupIcons" name="Card"> Синдикат — «Яков: дивное дитя»\n\n<sprite="PopupIcons" name="Card"> Скеллиге — «Харальд ан Крайт»\n\n<sprite="PopupIcons" name="Card"> Нильфгаард — «Узурпатор: офицер»\n\n<sprite="PopupIcons" name="Card"> Скоя'таэли — «Эитнэ: молодая королева»\n\n<sprite="PopupIcons" name="Card"> Королевства Севера — «Вираксас: принц»
shop_data_ep5_premium_keg_desc;Премиальные бочки «Господина Зеркало» — отличный способ пополнить вашу коллекцию анимированными картами из дополнения «Господин Зеркало»!\n\nОткрыв такую бочку, вы найдете 5 премиальных карт из дополнения «Господин Зеркало» — четыре как минимум обычные, а пятую, редкую или более ценную, сможете выбрать из трех карт.
